symptoms,grouped diseases
skin growth,"{'acanthosis nigricans': 0.002521578896324314, 'acne': 0.023954999515080982, 'actinic keratosis': 0.044515565900494616, 'alopecia': 0.016681214237222384, 'atrophic skin condition': 0.02308214528173795, 'atrophy of the corpus cavernosum': 0.002618562700029095, 'breast cyst': 0.0013577732518669382, 'breast infection (mastitis)': 0.032489574241101736, 'bunion': 0.0034914169333721268, 'callus': 0.027155465037338764, 'cellulitis or abscess of mouth': 0.007661720492677723, 'chalazion': 0.03132576859664436, 'chronic pancreatitis': 0.02143342061875667, 'cyst of the eyelid': 0.001260789448162157, 'fungal infection of the hair': 0.060905828726602655, 'ganglion cyst': 0.033750363689263894, 'hammer toe': 0.0007758704296382504, 'hemangioma': 0.033168460867035204, 'hemolytic anemia': 0.0024245950926195326, 'hidradenitis suppurativa': 0.0073707690815633786, 'ingrown toe nail': 0.02831927068179614, 'injury to the hand': 0.005819028222286878, 'lichen planus': 0.0008728542333430317, 'lipoma': 0.03336242847444477, 'melanoma': 0.014256619144602852, 'onychomycosis': 0.03355639608185433, 'osteochondroma': 0.01415963534089807, 'pilonidal cyst': 0.01774803607797498, 'polycystic kidney disease': 0.008631558529725535, 'psoriasis': 0.045194452526428085, 'rosacea': 0.03413829890408302, 'scar': 0.011541072640868975, 'scleroderma': 0.016681214237222384, 'sebaceous cyst': 0.04684317718940937, 'seborrheic dermatitis': 0.04373969547085637, 'seborrheic keratosis': 0.04529143633013287, 'skin cancer': 0.03297449325962564, 'skin disorder': 0.03355639608185433, 'skin pigmentation disorder': 0.04684317718940937, 'skin polyp': 0.04441858209678984, 'soft tissue sarcoma': 0.008049655707496849, 'varicocele of the testicles': 0.03384734749296867, 'viral warts': 0.02220929104839492}"
eye deviation,"{'amblyopia': 0.03604651162790698, 'astigmatism': 0.25116279069767444, 'eye alignment disorder': 0.26744186046511625, 'hyperopia': 0.10697674418604651, 'myopia': 0.3383720930232558}"
diminished vision,"{'acute glaucoma': 0.013687692483175544, 'amblyopia': 0.003535987224820349, 'aphakia': 0.0007984487281852401, 'astigmatism': 0.01916276947644576, 'bell palsy': 0.05121478270788183, 'blepharitis': 0.0531538724763317, 'blepharospasm': 0.0003421923120793886, 'cataract': 0.03170982091935668, 'central retinal artery or vein occlusion': 0.0039922436409262005, 'chalazion': 0.05235542374814646, 'chorioretinitis': 0.005132884681190829, 'chronic glaucoma': 0.03832553895289152, 'conjunctivitis due to allergy': 0.06855252651990419, 'conjunctivitis due to virus': 0.053039808372305236, 'cornea infection': 0.05372419299646401, 'corneal abrasion': 0.03912398768107676, 'corneal disorder': 0.04015056461731493, 'cranial nerve palsy': 0.019961218204631002, 'cyst of the eyelid': 0.002053153872476332, 'diabetic retinopathy': 0.026120679822059997, 'dry eye of unknown cause': 0.05269761606022585, 'endophthalmitis': 0.00433443595300559, 'ependymoma': 0.0015968974563704802, 'eye alignment disorder': 0.024409718261663056, 'floaters': 0.0014828333523440173, 'glaucoma': 0.02931447473480096, 'hydatidiform mole': 0.005589141097296681, 'hyperopia': 0.0069579103456142355, 'intracerebral hemorrhage': 0.053382000684384624, 'intracranial hemorrhage': 0.01745180791604882, 'iridocyclitis': 0.027831641382456942, 'macular degeneration': 0.05144291091593475, 'migraine': 0.013687692483175544, 'myopia': 0.026691000342192312, 'open wound of the eye': 0.001710961560396943, 'optic neuritis': 0.0007984487281852401, 'presbyopia': 0.014372077107334322, 'pseudotumor cerebri': 0.003307859016767423, 'pterygium': 0.012775179650963841, 'retinal detachment': 0.015968974563704802, 'retinopathy due to high blood pressure': 0.00878293601003764, 'sjogren syndrome': 0.006045397513402532, 'subconjunctival hemorrhage': 0.015398654043572487, 'toxoplasmosis': 0.0012547051442910915, 'trichiasis': 0.003421923120793886, 'uveitis': 0.0013687692483175544, 'vitreous degeneration': 0.020417474620736856, 'vitreous hemorrhage': 0.0013687692483175544}"
double vision,"{'acute glaucoma': 0.033384246126991056, 'astigmatism': 0.046476107353262054, 'cataract': 0.09535238926467379, 'chorioretinitis': 0.013310058913375519, 'concussion': 0.1322277983853371, 'corneal disorder': 0.09971634300676413, 'cranial nerve palsy': 0.03840279293039494, 'diabetic retinopathy': 0.05084006109535239, 'dry eye of unknown cause': 0.09295221470652411, 'eye alignment disorder': 0.05367663102771111, 'fracture of the facial bones': 0.05105825878245691, 'head injury': 0.022910757145974254, 'macular degeneration': 0.13375518219506874, 'myasthenia gravis': 0.01789221034257037, 'retinal detachment': 0.04931267728562077, 'toxic multinodular goiter': 0.010691686668121318, 'vitreous degeneration': 0.05804058476980144}"
cross-eyed,"{'allergy to animals': 0.0949367088607595, 'amblyopia': 0.11392405063291139, 'cryptococcosis': 0.03481012658227848, 'edward syndrome': 0.015822784810126583, 'eye alignment disorder': 0.7310126582278481, 'syndrome of inappropriate secretion of adh (siadh)': 0.00949367088607595}"
symptoms of eye,"{'acute glaucoma': 0.01349576018153589, 'aphakia': 0.0010748835542816195, 'astigmatism': 0.0200644930132569, 'bell palsy': 0.042159321629045746, 'blepharitis': 0.05183327361758032, 'cataract': 0.03797921891795056, 'central retinal artery or vein occlusion': 0.005852143795533261, 'chalazion': 0.040487280544607665, 'chronic glaucoma': 0.03965126000238863, 'conjunctivitis due to allergy': 0.07392810223336917, 'cornea infection': 0.05410247223217485, 'corneal abrasion': 0.03176878060432342, 'corneal disorder': 0.03857637644810701, 'diabetic retinopathy': 0.027469246387196944, 'dry eye of unknown cause': 0.05314702018392452, 'ectropion': 0.0035829451809387316, 'eye alignment disorder': 0.028782992953541146, 'floaters': 0.00226919861459453, 'foreign body in the eye': 0.02281141765197659, 'glaucoma': 0.03164934909829213, 'hyperopia': 0.009554520482503284, 'iridocyclitis': 0.029021855965603725, 'macular degeneration': 0.05326645168995581, 'myopia': 0.02723038337513436, 'open wound of the eye': 0.002030335602531948, 'orbital cellulitis': 0.009912815000597158, 'pinguecula': 0.0004777260241251642, 'polycythemia vera': 0.004657828735220351, 'presbyopia': 0.015406664278036546, 'pterygium': 0.02030335602531948, 'retinal detachment': 0.016720410844380747, 'retinopathy due to high blood pressure': 0.00907679445837812, 'rosacea': 0.05386360922011227, 'sjogren syndrome': 0.00561328078347068, 'stenosis of the tear duct': 0.007882479398065209, 'stye': 0.0546996297623313, 'subarachnoid hemorrhage': 0.013973486205661053, 'subconjunctival hemorrhage': 0.015167801265973963, 'tic (movement) disorder': 0.005135554759345515, 'uveitis': 0.002030335602531948, 'vitreous degeneration': 0.02149767108563239, 'vitreous hemorrhage': 0.0017914725904693658}"
pain in eye,"{'acute glaucoma': 0.012588596212842484, 'amblyopia': 0.0026446630699248916, 'astigmatism': 0.02655241722204591, 'blepharitis': 0.049190733100602985, 'cataract': 0.03237067597588067, 'central retinal artery or vein occlusion': 0.004231460911879826, 'chalazion': 0.03617899079657252, 'chorioretinitis': 0.005818258753834762, 'chronic glaucoma': 0.036284777319369514, 'conjunctivitis': 0.052258542261715855, 'conjunctivitis due to allergy': 0.06527028456574632, 'conjunctivitis due to virus': 0.036707923410557494, 'cornea infection': 0.04940230614619697, 'corneal abrasion': 0.027398709404421878, 'corneal disorder': 0.0364963503649635, 'diabetic retinopathy': 0.023061461969745053, 'dry eye of unknown cause': 0.049190733100602985, 'ectropion': 0.002221516978736909, 'endophthalmitis': 0.003702528297894848, 'ependymoma': 0.0012694382735639479, 'eye alignment disorder': 0.022849888924151063, 'foreign body in the eye': 0.014810113191579393, 'fracture of the facial bones': 0.03300539511266265, 'fracture of the jaw': 0.006029831799428753, 'glaucoma': 0.0267639902676399, 'iridocyclitis': 0.02909129376917381, 'macular degeneration': 0.04781550830424204, 'myopia': 0.02464825981169999, 'open wound of the eye': 0.0024330900243309003, 'orbital cellulitis': 0.009943933142917593, 'pituitary adenoma': 0.002750449592721887, 'pituitary disorder': 0.0026446630699248916, 'presbyopia': 0.01830106844388025, 'pseudotumor cerebri': 0.0039141013434888395, 'retinal detachment': 0.015656405373955358, 'retinopathy due to high blood pressure': 0.009203427483338623, 'sarcoidosis': 0.024013540674918014, 'scleritis': 0.0025388765471278957, 'shingles (herpes zoster)': 0.021157304559399133, 'sjogren syndrome': 0.009097640960541628, 'stye': 0.04855601396382101, 'subconjunctival hemorrhage': 0.015656405373955358, 'temporomandibular joint disorder': 0.026235057653654924, 'trigeminal neuralgia': 0.010578652279699566, 'vitreous degeneration': 0.017454776261504285, 'vitreous hemorrhage': 0.0020099439331429177}"
eye moves abnormally,"{'eye alignment disorder': 0.4446494464944649, 'myopia': 0.42066420664206644, 'spina bifida': 0.13468634686346864}"
abnormal movement of eyelid,"{'blepharospasm': 0.0024015369836695487, 'cataract': 0.14217098943323728, 'cranial nerve palsy': 0.11191162343900096, 'cyst of the eyelid': 0.008165225744476465, 'diabetic retinopathy': 0.1637848222862632, 'dry eye of unknown cause': 0.21229586935638808, 'macular degeneration': 0.2219020172910663, 'presbyopia': 0.07588856868395773, 'stenosis of the tear duct': 0.036983669548511046, 'tic (movement) disorder': 0.024495677233429394}"
foreign body sensation in eye,"{'acute glaucoma': 0.02655994178642896, 'astigmatism': 0.028924868109878116, 'central retinal artery or vein occlusion': 0.006003274513370929, 'chalazion': 0.06348917591413498, 'chronic glaucoma': 0.05803165362925232, 'cornea infection': 0.0825905039112243, 'corneal abrasion': 0.047116609059486995, 'corneal disorder': 0.06385301073312716, 'diabetic retinopathy': 0.058577405857740586, 'dry eye of unknown cause': 0.10678551937420411, 'floaters': 0.0029106785519374206, 'foreign body in the eye': 0.025650354738948517, 'glaucoma': 0.06076041477169365, 'iridocyclitis': 0.061124249590685825, 'macular degeneration': 0.0891395306530835, 'myopia': 0.06330725850463889, 'presbyopia': 0.027469528833909407, 'pterygium': 0.027287611424413317, 'retinopathy due to high blood pressure': 0.0178279061306167, 'subconjunctival hemorrhage': 0.03601964708022558, 'trichiasis': 0.003820265599417864, 'vitreous degeneration': 0.04275059123158086}"
irregular appearing scalp,"{'acne': 0.04275741710296684, 'actinic keratosis': 0.05983545250560957, 'alopecia': 0.02231363749688357, 'alzheimer disease': 0.028297182747444527, 'dermatitis due to sun exposure': 0.028421839940164548, 'eczema': 0.07591623036649214, 'eye alignment disorder': 0.03914235851408626, 'fungal infection of the hair': 0.07691348790825231, 'fungal infection of the skin': 0.04325604587384692, 'hemangioma': 0.056719022687609075, 'melanoma': 0.018075292944402892, 'pilonidal cyst': 0.029917726252804786, 'psoriasis': 0.06083271004736973, 'sebaceous cyst': 0.058090251807529296, 'seborrheic dermatitis': 0.05709299426576914, 'seborrheic keratosis': 0.0549738219895288, 'skin cancer': 0.05609573672400898, 'skin disorder': 0.04026427324856644, 'skin pigmentation disorder': 0.07840937422089254, 'skin polyp': 0.05871353777112939, 'thrombocytopenia': 0.013961605584642234}"
swollen lymph nodes,"{'atrial flutter': 0.08795309168443496, 'herpangina': 0.17537313432835822, 'melanoma': 0.11460554371002132, 'mononucleosis': 0.1263326226012793, 'mumps': 0.02185501066098081, 'peritonsillar abscess': 0.09594882729211088, 'salivary gland disorder': 0.02398720682302772, 'sialoadenitis': 0.18816631130063965, 'thyroid cancer': 0.0042643923240938165, 'ulcerative colitis': 0.1615138592750533}"
back pain,"{'abdominal aortic aneurysm': 0.0029804209271401716, 'acute pancreatitis': 0.02769498830757944, 'ankylosing spondylitis': 0.013343115227658306, 'arthritis of the hip': 0.02778669356687606, 'bone disorder': 0.005823283965335412, 'brachial neuritis': 0.021550735934705856, 'cholecystitis': 0.028520335641249027, 'chronic back pain': 0.02077124123068458, 'chronic knee pain': 0.0038516208904580676, 'chronic pain disorder': 0.016048420376908616, 'chronic pancreatitis': 0.0097666101150901, 'complex regional pain syndrome': 0.029758356641753404, 'concussion': 0.02774084093722775, 'cystitis': 0.026915493603558164, 'degenerative disc disease': 0.02081709386033289, 'dislocation of the vertebra': 0.0010546104819111376, 'fibromyalgia': 0.014581136228162685, 'fracture of the pelvis': 0.004493557705534413, 'fracture of the rib': 0.021367325416112613, 'fracture of the vertebra': 0.006511073410060067, 'gallstone': 0.02200926223118896, 'gynecomastia': 0.002200926223118896, 'head injury': 0.00408088403869962, 'herniated disk': 0.021642441194002476, 'hiatal hernia': 0.021321472786464304, 'hydronephrosis': 0.007794947040212756, 'hyponatremia': 0.015177220413590719, 'injury to internal organ': 0.00408088403869962, 'injury to the abdomen': 0.0026135998899536887, 'injury to the shoulder': 0.011325599523132652, 'injury to the spinal cord': 0.0009170525929662066, 'injury to the trunk': 0.021413178045760924, 'juvenile rheumatoid arthritis': 0.0009170525929662066, 'kidney stone': 0.02182585171259572, 'lumbago': 0.00426429455729286, 'lung contusion': 0.00041267366683479296, 'muscle spasm': 0.015681599339722133, 'neuralgia': 0.016369388784446787, 'osteoarthritis': 0.02063368334173965, 'osteoporosis': 0.009216378559310377, 'pain after an operation': 0.021367325416112613, 'pain disorder affecting the neck': 0.009170525929662067, 'pelvic inflammatory disease': 0.02100050437892613, 'peripheral nerve disorder': 0.028336925122655784, 'peritonitis': 0.012150946856802238, 'pleural effusion': 0.014076757302031272, 'pneumothorax': 0.007244715484433032, 'polycystic kidney disease': 0.0048603787427208955, 'premenstrual tension syndrome': 0.0045394103351827225, 'problem during pregnancy': 0.021871704342244027, 'prostatitis': 0.015131367783942409, 'pyelonephritis': 0.01939566234123527, 'scoliosis': 0.003714063001513137, 'shingles (herpes zoster)': 0.009353936448255308, 'sickle cell anemia': 0.005273052409555688, 'sickle cell crisis': 0.02072538860103627, 'spina bifida': 0.0021092209638222752, 'spinal stenosis': 0.028520335641249027, 'spondylitis': 0.010546104819111377, 'spondylolisthesis': 0.016002567747260305, 'spondylosis': 0.028474483011600715, 'sprain or strain': 0.028841304048787198, 'syringomyelia': 0.00036682103718648266, 'temporary or benign blood in urine': 0.02100050437892613, 'testicular torsion': 0.003026273556788482, 'threatened pregnancy': 0.02077124123068458, 'urinary tract infection': 0.02113806226787106, 'urinary tract obstruction': 0.015452336191480582, 'vertebrobasilar insufficiency': 0.0010546104819111376, 'vulvar cancer': 0.00022926314824155166, 'vulvodynia': 0.02897886193773213}"
neck pain,"{'adhesive capsulitis of the shoulder': 0.0038093377612815004, 'brachial neuritis': 0.04707950771635085, 'carpal tunnel syndrome': 0.045907403789802695, 'cerebral edema': 0.005762844305528423, 'chronic back pain': 0.04473529986325454, 'complex regional pain syndrome': 0.061730806798202774, 'concussion': 0.05850752100019535, 'degenerative disc disease': 0.0471771830435632, 'dislocation of the vertebra': 0.0027349091619456923, 'fibromyalgia': 0.03252588396171127, 'fracture of the vertebra': 0.01474897440906427, 'gynecomastia': 0.0042977143973432315, 'head injury': 0.008302402813049423, 'headache after lumbar puncture': 0.008204727485837077, 'herniated disk': 0.04532135182652862, 'injury to the face': 0.024516507130298886, 'injury to the hip': 0.001172103926548154, 'injury to the shoulder': 0.02393045516702481, 'injury to the spinal cord': 0.0016604805626098847, 'injury to the trunk': 0.04756788435241258, 'lymphadenitis': 0.022465325258839618, 'meningitis': 0.014846649736276616, 'muscle spasm': 0.0344793905059582, 'nerve impingement near the shoulder': 0.018460636843133423, 'neuralgia': 0.03438171517874585, 'pain after an operation': 0.04629810509865208, 'pain disorder affecting the neck': 0.02187927329556554, 'spinal stenosis': 0.06065637819886697, 'spondylitis': 0.021195546005079117, 'spondylolisthesis': 0.03330728657941004, 'spondylosis': 0.061437780816565736, 'sprain or strain': 0.059386598945106464, 'temporomandibular joint disorder': 0.014455948427427232, 'tension headache': 0.01426059777300254, 'torticollis': 0.012795467864817348}"
low back pain,"{'ankylosing spondylitis': 0.02786573780873971, 'arthritis of the hip': 0.05419343164751651, 'benign kidney cyst': 0.008685424771555234, 'bone cancer': 0.003890346512259115, 'brachial neuritis': 0.04270333846014657, 'chronic back pain': 0.04252239211073917, 'chronic pain disorder': 0.03284176241744323, 'complex regional pain syndrome': 0.05419343164751651, 'degenerative disc disease': 0.04306523115896137, 'dislocation of the vertebra': 0.0020808830181851083, 'fibromyalgia': 0.04243191893603546, 'fracture of the neck': 0.0016285171446666063, 'fracture of the vertebra': 0.013842395729666154, 'headache after lumbar puncture': 0.007599746675110829, 'herniated disk': 0.04315570433366507, 'injury to the trunk': 0.04152718718899846, 'kidney stone': 0.04161766036370216, 'lumbago': 0.008504478422147833, 'muscle spasm': 0.04197955306251697, 'neuralgia': 0.03121324527277662, 'pain after an operation': 0.04369854338188727, 'pain disorder affecting the neck': 0.01809463494074007, 'polycystic kidney disease': 0.008866371120962635, 'pyelonephritis': 0.04252239211073917, 'sciatica': 0.031846557495702525, 'scoliosis': 0.007961639373925631, 'sickle cell crisis': 0.04053198226725776, 'spinal stenosis': 0.055279109743960914, 'spondylitis': 0.021532615579480684, 'spondylolisthesis': 0.031846557495702525, 'spondylosis': 0.056817153713923825, 'sprain or strain': 0.055460056093368314}"
pain of the anus,"{'anal fissure': 0.0352760736196319, 'anal fistula': 0.003374233128834356, 'chronic constipation': 0.1432515337423313, 'colonic polyp': 0.06901840490797546, 'colorectal cancer': 0.002147239263803681, 'crohn disease': 0.09049079754601227, 'hemorrhoids': 0.13711656441717793, 'ileus': 0.0687116564417178, 'intestinal obstruction': 0.0687116564417178, 'perirectal infection': 0.02607361963190184, 'pilonidal cyst': 0.05276073619631902, 'pinworm infection': 0.015337423312883436, 'rectal disorder': 0.14662576687116563, 'varicocele of the testicles': 0.1411042944785276}"
pain during pregnancy,"{'benign vaginal discharge (leukorrhea)': 0.06829549826856483, 'cervicitis': 0.048480184686417856, 'ectopic pregnancy': 0.030588687956906502, 'gestational diabetes': 0.0026933435936898806, 'hydatidiform mole': 0.006348595613697576, 'hyperemesis gravidarum': 0.0917660638707195, 'hypertension of pregnancy': 0.00596383224317045, 'induced abortion': 0.03039630627164294, 'missed abortion': 0.03597537514428627, 'placenta previa': 0.0013466717968449403, 'postpartum depression': 0.050596383224317046, 'preeclampsia': 0.024240092343208928, 'pregnancy': 0.0015390534821085034, 'problem during pregnancy': 0.090227010388611, 'spontaneous abortion': 0.11966140823393613, 'subacute thyroiditis': 0.0034628703347441324, 'trichomonas infection': 0.042516352443247404, 'uterine atony': 0.022893420546363986, 'vaginal cyst': 0.11869949980761832, 'vaginitis': 0.08714890342439399, 'vulvodynia': 0.11716044632550981}"
pelvic pain,"{'arthritis of the hip': 0.06739199323967467, 'cervical cancer': 0.006443435090313722, 'cervical disorder': 0.0017957114186120207, 'cervicitis': 0.02144290693989648, 'chlamydia': 0.014048801098552869, 'chronic pain disorder': 0.0477447977183902, 'cystitis': 0.0607372979824654, 'ectopic pregnancy': 0.01764022393577691, 'endometriosis': 0.020280976021971056, 'fracture of the vertebra': 0.014576951515791697, 'fungal infection of the hair': 0.06527939157071934, 'idiopathic absence of menstruation': 0.027252561529523607, 'idiopathic irregular menstrual cycle': 0.04858983838597233, 'idiopathic painful menstruation': 0.05091370022182318, 'mittelschmerz': 0.0031689025034329775, 'ovarian cyst': 0.024823069610224992, 'ovarian torsion': 0.003697052920671807, 'pelvic inflammatory disease': 0.04732227738459913, 'pilonidal cyst': 0.027041301362628077, 'polycystic ovarian syndrome (pcos)': 0.0142600612654484, 'premature ovarian failure': 0.0023238618358508503, 'problem during pregnancy': 0.06411746065279392, 'spontaneous abortion': 0.06538502165416711, 'threatened pregnancy': 0.04880109855286786, 'uterine cancer': 0.0004225203337910637, 'uterine fibroids': 0.0235555086088518, 'vaginal cyst': 0.06644132248864476, 'vaginismus': 0.005598394422731594, 'vaginitis': 0.049223618886658924, 'vulvodynia': 0.06453998098658498, 'yeast infection': 0.02513995986056829}"
impotence,"{'atonic bladder': 0.018518518518518517, 'atrophy of the corpus cavernosum': 0.014814814814814815, 'benign kidney cyst': 0.06296296296296296, 'benign prostatic hyperplasia (bph)': 0.25020576131687244, 'bladder obstruction': 0.07366255144032922, 'diabetic kidney disease': 0.0008230452674897119, 'erectile dysfunction': 0.1279835390946502, 'lactose intolerance': 0.04156378600823045, 'overflow incontinence': 0.06748971193415639, 'peyronie disease': 0.006584362139917695, 'premature ventricular contractions (pvcs)': 0.09135802469135802, 'primary kidney disease': 0.007407407407407408, 'prostate cancer': 0.03374485596707819, 'prostatitis': 0.15432098765432098, 'psychosexual disorder': 0.03374485596707819, 'testicular disorder': 0.014814814814814815}"
infant spitting up,{'foreign body in the throat': 1.0}
vomiting blood,"{'alcohol abuse': 0.1044370661032297, 'anemia': 0.06791427709025052, 'cirrhosis': 0.07666767280410504, 'folate deficiency': 0.011469966797464533, 'foreign body in the gastrointestinal tract': 0.02444913975249019, 'gastritis': 0.10051313009357078, 'gastroduodenal ulcer': 0.1092665258074253, 'gastrointestinal hemorrhage': 0.1829157862964081, 'hiatal hernia': 0.13703591910654994, 'hyperemesis gravidarum': 0.18533051614850587}"
regurgitation,"{'abdominal hernia': 0.08473895582329317, 'cirrhosis': 0.06867469879518072, 'crohn disease': 0.0751004016064257, 'gastroesophageal reflux disease (gerd)': 0.09317269076305221, 'gastroparesis': 0.040160642570281124, 'hiatal hernia': 0.18473895582329317, 'intestinal disease': 0.10361445783132531, 'iron deficiency anemia': 0.1357429718875502, 'lymphoma': 0.030923694779116467, 'temporary or benign blood in urine': 0.18313253012048192}"
burning abdominal pain,"{'abdominal aortic aneurysm': 0.008396887759032433, 'acute pancreatitis': 0.04884061320391341, 'acute stress reaction': 0.03543640705646715, 'appendicitis': 0.03682304907172021, 'benign vaginal discharge (leukorrhea)': 0.025883984284723827, 'cholecystitis': 0.047685078191202525, 'chronic constipation': 0.03482012171635467, 'crohn disease': 0.014328634157614976, 'diverticulitis': 0.04591325783837917, 'endometriosis': 0.01548416917032586, 'esophagitis': 0.04429550882058393, 'gallstone': 0.03636083506663585, 'gastritis': 0.025344734612125414, 'gastroduodenal ulcer': 0.024651413604498882, 'gastroesophageal reflux disease (gerd)': 0.016870811185578923, 'gastroparesis': 0.010553886449426085, 'hiatal hernia': 0.035359371388953086, 'hyperemesis gravidarum': 0.03743933441183268, 'ileus': 0.017255989523149218, 'indigestion': 0.016793775518064866, 'infectious gastroenteritis': 0.04676065018103382, 'intestinal disease': 0.02018334488868346, 'intestinal obstruction': 0.01702488252060704, 'irritable bowel syndrome': 0.018950774208458518, 'ischemia of the bowel': 0.014636776827671212, 'lactose intolerance': 0.006008782066096603, 'noninfectious gastroenteritis': 0.04614436484092135, 'ovarian cyst': 0.01864263153840228, 'pelvic inflammatory disease': 0.047299899853632234, 'rectal disorder': 0.0358986210615515, 'sickle cell crisis': 0.03512826438641091, 'spontaneous abortion': 0.04891764887142747, 'stomach cancer': 0.0067021030737231336, 'ulcerative colitis': 0.013327170479932208, 'vulvodynia': 0.04583622217086511}"
restlessness,"{'adjustment reaction': 0.10222222222222223, 'attention deficit hyperactivity disorder (adhd)': 0.0993939393939394, 'dental caries': 0.24808080808080807, 'developmental disability': 0.2509090909090909, 'drug abuse (opioids)': 0.1785858585858586, 'extrapyramidal effect of drugs': 0.027878787878787878, 'oppositional disorder': 0.09292929292929293}"
symptoms of infants,{'teething syndrome': 1.0}
wheezing,"{'acute bronchiolitis': 0.12862728956575428, 'acute bronchitis': 0.12389380530973451, 'acute bronchospasm': 0.09672772175344721, 'acute respiratory distress syndrome (ards)': 0.048363860876723605, 'asthma': 0.09713932908005762, 'chronic obstructive pulmonary disease (copd)': 0.09672772175344721, 'common cold': 0.09549289977361597, 'croup': 0.09302325581395349, 'interstitial lung disease': 0.06729779790080263, 'pharyngitis': 0.0030870549495781024, 'pneumonia': 0.12327639431981889, 'poisoning due to gas': 0.026342868903066474}"
peripheral edema,"{'acute kidney injury': 0.05243790248390064, 'alcoholic liver disease': 0.014834406623735051, 'allergy': 0.05427782888684453, 'anemia due to chronic kidney disease': 0.003104875804967801, 'aortic valve disease': 0.02564397424103036, 'bell palsy': 0.041283348666053356, 'bone cancer': 0.00609475620975161, 'cardiomyopathy': 0.01655933762649494, 'celiac disease': 0.014029438822447102, 'chronic kidney disease': 0.0006899724011039559, 'cirrhosis': 0.02081416743330267, 'dental caries': 0.07072217111315547, 'drug reaction': 0.05427782888684453, 'fluid overload': 0.019089236430542778, 'fracture of the facial bones': 0.0265639374425023, 'fracture of the jaw': 0.005059797608095676, 'gum disease': 0.05209291628334867, 'heart block': 0.034268629254829805, 'insect bite': 0.04036338546458142, 'ischemic heart disease': 0.05439282428702852, 'jaw disorder': 0.019779208831646734, 'liver disease': 0.07095216191352346, 'lymphedema': 0.02874885004599816, 'open wound of the mouth': 0.0072447102115915365, 'open wound of the neck': 0.0021849126034958603, 'orbital cellulitis': 0.013684452621895124, 'poisoning due to antimicrobial drugs': 0.005864765409383624, 'primary kidney disease': 0.002529898804047838, 'pyogenic skin infection': 0.05427782888684453, 'rheumatoid arthritis': 0.03840846366145354, 'sarcoidosis': 0.021504139834406622, 'sialoadenitis': 0.030473781048758048, 'tooth abscess': 0.03921343146274149, 'tooth disorder': 0.05243790248390064, 'varicose veins': 0.00609475620975161}"
neck mass,"{'dislocation of the shoulder': 0.024317617866004962, 'head and neck cancer': 0.08734491315136476, 'intestinal cancer': 0.017866004962779156, 'jaw disorder': 0.11315136476426799, 'lipoma': 0.17320099255583127, 'lymphadenitis': 0.11166253101736973, 'lymphoma': 0.03821339950372209, 'metastatic cancer': 0.007444168734491315, 'sebaceous cyst': 0.23573200992555832, 'sialoadenitis': 0.12357320099255584, 'thyroid cancer': 0.0024813895781637717, 'thyroid disease': 0.006947890818858561, 'thyroid nodule': 0.05806451612903226}"
ear pain,"{'acute otitis media': 0.03250188964474679, 'acute sinusitis': 0.045351473922902494, 'chronic otitis media': 0.03165154950869237, 'chronic sinusitis': 0.041194255479969764, 'common cold': 0.04516250944822373, 'conductive hearing loss': 0.030045351473922902, 'dental caries': 0.057067271352985637, 'ear drum damage': 0.04327286470143613, 'ear wax impaction': 0.031179138321995464, 'eustachian tube dysfunction (ear disorder)': 0.044879062736205594, 'foreign body in the ear': 0.0012282690854119426, 'friedrich ataxia': 0.0002834467120181406, 'gum disease': 0.04497354497354497, 'injury to the face': 0.021825396825396824, 'labyrinthitis': 0.04317838246409675, 'laryngitis': 0.032879818594104306, 'lymphadenitis': 0.021258503401360544, 'lymphogranuloma venereum': 0.0017951625094482237, 'mastoiditis': 0.007086167800453515, 'meniere disease': 0.017668178382464098, 'mumps': 0.003401360544217687, 'nose disorder': 0.05971277399848828, 'open wound of the ear': 0.0017006802721088435, ""otitis externa (swimmer's ear)"": 0.04516250944822373, 'otitis media': 0.04657974300831444, 'peritonsillar abscess': 0.017573696145124718, 'presbyacusis': 0.003495842781557067, 'seasonal allergies (hay fever)': 0.04591836734693878, 'sensorineural hearing loss': 0.03429705215419501, 'strep throat': 0.05905139833711262, 'teething syndrome': 0.026266061980347696, 'temporomandibular joint disorder': 0.015400604686318972, 'tinnitus of unknown cause': 0.012660619803476946, 'tooth disorder': 0.03429705215419501}"
jaw swelling,"{'dental caries': 0.2539614561027837, 'fracture of the jaw': 0.017558886509635975, 'gum disease': 0.19571734475374733, 'jaw disorder': 0.09550321199143469, 'postoperative infection': 0.04025695931477516, 'sialoadenitis': 0.10792291220556745, 'tooth abscess': 0.14603854389721627, 'tooth disorder': 0.1430406852248394}"
mouth dryness,"{'breast infection (mastitis)': 0.34579439252336447, 'obstructive sleep apnea (osa)': 0.6542056074766355}"
neck swelling,"{'crushing injury': 0.021957913998170174, 'dental caries': 0.27035681610247025, 'fracture of the shoulder': 0.06175663311985361, 'ingrown toe nail': 0.2090576395242452, 'lymphadenitis': 0.11207685269899359, 'lymphangitis': 0.0013723696248856359, 'sialoadenitis': 0.1171088746569076, 'tooth abscess': 0.20631290027447394}"
