Symptoms,Question_en,Question_ar
wrinkles on skin,Do you have wrinkles on your skin?,هل لديك تجاعيد على بشرتك؟
foot or toe weakness,Do you feel weakness in your foot or toes?,هل تشعر بالضعف في قدمك أو أصابع قدميك؟
hand or finger cramps or spasms,Do you have cramps or spasms in your hands or fingers?,هل لديك تشنجات أو تقلصات في يديك أو أصابعك؟
back stiffness or tightness,Does your back feel stiff or tight?,هل تشعر بأن ظهرك متصلب أو مشدود؟
wrist lump or mass,Do you have a lump or mass in your wrist?,هل لديك كتلة أو ورم في معصمك؟
skin pain,Does your skin hurt?,هل تؤلمك بشرتك؟
low back stiffness or tightness,Do you feel stiffness or tightness in your lower back?,هل تشعر بتصلب أو شد في أسفل ظهرك؟
low urine output,Do you have low urine output?,هل لديك انخفاض في كمية البول؟
skin on head or neck looks infected,Does the skin on your head or neck look infected?,هل تبدو البشرة على رأسك أو رقبتك ملتهبة؟
stuttering or stammering,Do you stutter or stammer?,هل تتلعثم أو تتردد؟
problems with orgasm,Do you have problems with orgasm?,هل لديك مشاكل في النشوة؟
nose deformity,Do you have a nose deformity?,هل لديك تشوه في الأنف؟
lump over jaw,Do you have a lump over your jaw?,هل لديك كتلة فوق فكك؟
sore in nose,Do you have a sore in your nose?,هل لديك جرح في أنفك؟
hip weakness,Do you feel weakness in your hip?,هل تشعر بالضعف في وركك؟
back swelling,Do you have swelling in your back?,هل لديك تورم في ظهرك؟
ankle stiffness or tightness,Do your ankles feel stiff or tight?,هل تشعر بتصلب أو شد في كاحليك؟
ankle weakness,Do your ankles feel weak?,هل تشعر بأن كاحليك ضعيفتان؟
neck weakness,Do you feel weakness in your neck?,هل تشعر بالضعف في رقبتك؟
