diseases,grouped symptoms,disease probability
developmental disability,"{'restlessness': 0.681668496158068, 'temper problems': 0.5225027442371021, 'seizures': 0.5126234906695939, 'obsessions and compulsions': 0.5126234906695939, 'fears and phobias': 0.5115257958287596, 'hostile behavior': 0.5093304061470911, 'delusions or hallucinations': 0.5071350164654226, 'difficulty speaking': 0.4994511525795829, 'antisocial behavior': 0.4994511525795829, 'depressive or psychotic symptoms': 0.49066959385290887, 'lack of growth': 0.49066959385290887}",0.01
deviated nasal septum,"{'facial pain': 0.7446457990115322, 'nosebleed': 0.5255354200988468, 'painful sinuses': 0.5172981878088962, 'headache': 0.5123558484349259, 'difficulty breathing': 0.5123558484349259, 'abnormal breathing sounds': 0.5107084019769358, 'allergic reaction': 0.5024711696869851, 'apnea': 0.4942339373970346, 'nasal congestion': 0.4876441515650741, 'sore throat': 0.4546952224052718}",0.05
diabetes,"{'weight gain': 1.0, 'thirst': 1.0}",0.1
diabetes insipidus,"{'dizziness': 1.0, 'emotional symptoms': 0.8333333333333334}",0.001
diabetic ketoacidosis,"{'frequent urination': 0.6790490341753344, 'decreased appetite': 0.6716196136701337, 'nausea': 0.5408618127786032, 'sharp abdominal pain': 0.5096582466567607, 'fluid retention': 0.5096582466567607, 'sharp chest pain': 0.5081723625557206, 'vomiting': 0.5066864784546805, 'diarrhea': 0.5052005943536404, 'weakness': 0.4947994056463596, 'depressive or psychotic symptoms': 0.48588410104011887}",0.005
diabetic kidney disease,"{'blood in stool': 1.0, 'impotence': 1.0}",0.05
diabetic peripheral neuropathy,"{'lymphedema': 0.7765486725663717, 'foot or toe stiffness or tightness': 0.6769911504424779, 'skin lesion': 0.5110619469026548, 'leg pain': 0.504424778761062, 'paresthesia': 0.5022123893805309, 'foot or toe pain': 0.497787610619469, 'foot or toe swelling': 0.497787610619469, 'loss of sensation': 0.48451327433628316, 'problems with movement': 0.4756637168141593}",0.05
diabetic retinopathy,"{'abnormal movement of eyelid': 0.7478070175438597, 'foreign body sensation in eye': 0.706140350877193, 'double vision': 0.5109649122807017, 'symptoms of eye': 0.5043859649122807, 'itchiness of eye': 0.5043859649122807, 'diminished vision': 0.5021929824561403, 'spots or clouds in vision': 0.4956140350877193, 'lacrimation': 0.4934210526315789, 'pain in eye': 0.4780701754385965}",0.03
diaper rash,"{'temper problems': 0.6722408026755853, 'skin rash': 0.5384615384615384, 'diarrhea': 0.5261984392419174, 'fever': 0.5239687848383501, 'diaper rash': 0.5206243032329989, 'nasal congestion': 0.5150501672240803, 'vomiting': 0.5094760312151616, 'pulling at ears': 0.5061315496098104, 'blood in stool': 0.5027870680044593, 'irritable infant': 0.48940914158305465, 'cough': 0.48606465997770343}",0.1
dislocation of the ankle,"{'emotional symptoms': 0.9523809523809523, 'ankle swelling': 0.6190476190476191, 'foot or toe pain': 0.5238095238095238, 'ankle pain': 0.42857142857142855}",0.01
dislocation of the elbow,"{'elbow swelling': 0.6428571428571429, 'irritable infant': 0.6309523809523809, 'arm stiffness or tightness': 0.6190476190476191, 'wrist pain': 0.5119047619047619, 'arm pain': 0.5119047619047619, 'depression': 0.47619047619047616, 'elbow pain': 0.4166666666666667}",0.01
dislocation of the finger,"{'difficulty speaking': 0.7777777777777778, 'hand or finger stiffness or tightness': 0.6666666666666666, 'hand or finger pain': 0.5555555555555556, 'hand or finger swelling': 0.4444444444444444, 'wrist pain': 0.3888888888888889}",0.01
dislocation of the foot,"{'vomiting': 1.0, 'elbow weakness': 0.9473684210526315, 'foot or toe pain': 0.47368421052631576}",0.01
dislocation of the hip,"{'abusing alcohol': 1.0, 'leg pain': 0.8333333333333334, 'hip pain': 0.6666666666666666}",0.01
dislocation of the knee,"{'knee pain': 1.0, 'knee swelling': 0.6666666666666666, 'knee stiffness or tightness': 0.6666666666666666}",0.01
dislocation of the patella,"{'knee pain': 1.0, 'knee stiffness or tightness': 1.0, 'knee swelling': 0.6666666666666666}",0.01
dislocation of the shoulder,"{'neck mass': 0.765625, 'arm stiffness or tightness': 0.6875, 'arm swelling': 0.609375, 'arm pain': 0.578125, 'wrist pain': 0.546875, 'shoulder pain': 0.515625}",0.01
dislocation of the vertebra,"{'leg pain': 0.9736842105263158, 'elbow weakness': 0.8947368421052632, 'neck pain': 0.7368421052631579, 'back pain': 0.6052631578947368, 'low back pain': 0.6052631578947368}",0.01
dislocation of the wrist,"{'elbow weakness': 0.8444444444444444, 'hand or finger pain': 0.8444444444444444, 'depression': 0.7333333333333333, 'arm pain': 0.6}",0.01
dissociative disorder,"{'back weakness': 0.8461538461538461, 'disturbance of memory': 0.7692307692307693, 'excessive anger': 0.7252747252747253, 'anxiety and nervousness': 0.6703296703296703, 'depressive or psychotic symptoms': 0.5494505494505495}",0.002
diverticulitis,"{'constipation': 0.5263591433278418, 'sharp abdominal pain': 0.5172981878088962, 'lower abdominal pain': 0.5123558484349259, 'nausea': 0.5082372322899505, 'diarrhea': 0.5082372322899505, 'vomiting': 0.49917627677100496, 'chills': 0.49835255354200986, 'side pain': 0.4975288303130148, 'burning abdominal pain': 0.49093904448105435, 'fever': 0.49093904448105435, 'blood in stool': 0.4744645799011532, 'upper abdominal pain': 0.4744645799011532}",0.03
diverticulosis,"{'nausea': 0.6805349182763745, 'rectal bleeding': 0.674591381872214, 'upper abdominal pain': 0.512630014858841, 'sharp abdominal pain': 0.5111441307578009, 'diarrhea': 0.5037147102526003, 'lower abdominal pain': 0.5022288261515602, 'heartburn': 0.49925705794947994, 'melena': 0.4947994056463596, 'vomiting': 0.48588410104011887, 'blood in stool': 0.48439821693907875}",0.05
down syndrome,"{'difficulty speaking': 0.9133858267716536, 'nasal congestion': 0.7165354330708661, 'lack of growth': 0.5984251968503937, 'decreased appetite': 0.5275590551181102, 'cough': 0.5196850393700787, 'seizures': 0.5118110236220472}",0.001
drug abuse,"{'smoking problems': 0.7545605306799337, 'antisocial behavior': 0.5472636815920398, 'drug abuse': 0.5373134328358209, 'abusing alcohol': 0.5207296849087893, 'sweating': 0.5074626865671642, 'depression': 0.4975124378109453, 'hostile behavior': 0.494195688225539, 'delusions or hallucinations': 0.49087893864013266, 'anxiety and nervousness': 0.4759535655058043, 'depressive or psychotic symptoms': 0.472636815920398}",0.05
drug abuse (barbiturates),"{'depression': 0.8709677419354839, 'anxiety and nervousness': 0.7741935483870968, 'hostile behavior': 0.6451612903225806, 'abnormal involuntary movements': 0.5806451612903226, 'drug abuse': 0.5806451612903226, 'delusions or hallucinations': 0.46774193548387094}",0.02
drug abuse (cocaine),"{'fears and phobias': 0.7900355871886121, 'abusing alcohol': 0.5551601423487544, 'excessive anger': 0.5480427046263345, 'drug abuse': 0.5444839857651246, 'depression': 0.5409252669039146, 'delusions or hallucinations': 0.5338078291814946, 'depressive or psychotic symptoms': 0.5160142348754448, 'sharp chest pain': 0.5124555160142349, 'hostile behavior': 0.4804270462633452}",0.05
drug abuse (methamphetamine),"{'hostile behavior': 0.7636363636363637, 'anxiety and nervousness': 0.7212121212121212, 'feeling ill': 0.6848484848484848, 'shortness of breath': 0.5484848484848485, 'palpitations': 0.5424242424242425, 'drug abuse': 0.5303030303030303, 'depressive or psychotic symptoms': 0.5272727272727272, 'abusing alcohol': 0.5242424242424243}",0.04
drug abuse (opioids),"{'restlessness': 0.7317880794701986, 'temper problems': 0.5397350993377483, 'drug abuse': 0.5314569536423841, 'insomnia': 0.5182119205298014, 'abusing alcohol': 0.5016556291390728, 'delusions or hallucinations': 0.4900662251655629, 'depression': 0.48841059602649006, 'anxiety and nervousness': 0.48509933774834435, 'excessive anger': 0.48509933774834435, 'depressive or psychotic symptoms': 0.4735099337748344}",0.07
drug poisoning due to medication,"{'lip swelling': 0.7836538461538461, 'abusing alcohol': 0.7067307692307693, 'slurring words': 0.6490384615384616, 'drug abuse': 0.5432692307692307, 'depressive or psychotic symptoms': 0.5240384615384616, 'sleepiness': 0.5240384615384616, 'depression': 0.5048076923076923}",0.01
drug reaction,"{'nausea': 0.6919691969196919, 'skin rash': 0.5335533553355336, 'allergic reaction': 0.5247524752475248, 'headache': 0.5225522552255225, 'peripheral edema': 0.5192519251925193, 'vomiting': 0.5071507150715071, 'dizziness': 0.506050605060506, 'itching of skin': 0.504950495049505, 'abnormal appearing skin': 0.5005500550055005, 'shortness of breath': 0.49504950495049505, 'throat swelling': 0.4829482948294829}",0.03
drug withdrawal,"{'depression': 0.7568627450980392, 'sharp abdominal pain': 0.7058823529411765, 'anxiety and nervousness': 0.7019607843137254, 'dizziness': 0.6549019607843137, 'vomiting': 0.5372549019607843, 'chills': 0.5098039215686274, 'nausea': 0.49411764705882355}",0.03
dry eye of unknown cause,"{'foreign body sensation in eye': 0.6817653890824622, 'pain in eye': 0.5400696864111498, 'diminished vision': 0.5365853658536586, 'eye redness': 0.5342624854819977, 'lacrimation': 0.5307781649245064, 'symptoms of eye': 0.5168408826945412, 'abnormal movement of eyelid': 0.5133565621370499, 'spots or clouds in vision': 0.5133565621370499, 'itchiness of eye': 0.5040650406504065, 'double vision': 0.49477351916376305, 'white discharge from eye': 0.4808362369337979}",0.1
dumping syndrome,"{'vomiting': 1.0, 'nausea': 0.75, 'knee lump or mass': 0.75}",0.02
dyshidrosis,"{'frequent urination': 0.8433734939759037, 'abnormal appearing skin': 0.6987951807228916, 'acne or pimples': 0.6385542168674698, 'skin rash': 0.5903614457831325, 'skin lesion': 0.5542168674698795}",0.02
dysthymic disorder,"{'excessive anger': 0.685370741482966, 'loss of sex drive': 0.6673346693386774, 'temper problems': 0.6613226452905812, 'depression': 0.533066132264529, 'disturbance of memory': 0.5230460921843687, 'insomnia': 0.5190380761523046, 'anxiety and nervousness': 0.5170340681362725, 'depressive or psychotic symptoms': 0.5090180360721442, 'slurring words': 0.4969939879759519}",0.03
ear drum damage,"{'pus draining from ear': 0.6747519294377067, 'ringing in ear': 0.5325248070562293, 'redness in ear': 0.5226019845644984, 'pulling at ears': 0.5170893054024256, 'plugged feeling in ear': 0.5082690187431091, 'ear pain': 0.5049614112458655, 'fluid in ear': 0.49834619625137816, 'cough': 0.49503858875413453, 'nasal congestion': 0.4906284454244763, 'diminished hearing': 0.48511576626240355, 'bleeding from ear': 0.4785005512679162}",0.01
ear wax impaction,"{'fluid in ear': 0.6932153392330384, 'sinus congestion': 0.6489675516224189, 'plugged feeling in ear': 0.5221238938053098, 'ringing in ear': 0.5206489675516224, 'diminished hearing': 0.504424778761062, 'nasal congestion': 0.5014749262536873, 'fever': 0.5014749262536873, 'pulling at ears': 0.5014749262536873, 'ear pain': 0.48672566371681414, 'cough': 0.4837758112094395}",0.1
eating disorder,"{'abusing alcohol': 0.7064777327935222, 'insomnia': 0.6882591093117408, 'acne or pimples': 0.6761133603238867, 'depression': 0.5404858299595142, 'difficulty eating': 0.52834008097166, 'anxiety and nervousness': 0.5161943319838057, 'depressive or psychotic symptoms': 0.5101214574898786, 'decreased appetite': 0.5020242914979757, 'weight gain': 0.4797570850202429}",0.02
ectopic pregnancy,"{'intermenstrual bleeding': 0.750733137829912, 'lower abdominal pain': 0.6803519061583577, 'vaginal discharge': 0.6539589442815249, 'sharp abdominal pain': 0.5278592375366569, 'nausea': 0.5278592375366569, 'dizziness': 0.5219941348973607, 'pelvic pain': 0.4897360703812317, 'pain during pregnancy': 0.4662756598240469}",0.01
ectropion,"{'white discharge from eye': 0.9736842105263158, 'symptoms of eye': 0.7894736842105263, 'eye redness': 0.6052631578947368, 'pain in eye': 0.5526315789473685, 'lacrimation': 0.5}",0.001
eczema,"{'itching of skin': 0.5244407622203812, 'skin lesion': 0.5128417564208783, 'acne or pimples': 0.5111847555923777, 'skin swelling': 0.5095277547638773, 'skin rash': 0.5086992543496272, 'warts': 0.5070422535211268, 'irregular appearing scalp': 0.5045567522783762, 'skin irritation': 0.4995857497928749, 'allergic reaction': 0.4979287489643745, 'abnormal appearing skin': 0.4971002485501243, 'skin dryness, peeling, scaliness, or roughness': 0.49461474730737365, 'cough': 0.4896437448218724}",0.1
edward syndrome,"{'suprapubic pain': 1.0, 'cross-eyed': 0.8333333333333334}",0.0005
emphysema,"{'shortness of breath': 0.967741935483871, 'cough': 0.967741935483871, 'emotional symptoms': 0.8064516129032258, 'sharp chest pain': 0.45161290322580644}",0.02
empyema,"{'sharp chest pain': 1.0, 'leg pain': 1.0, 'shortness of breath': 0.8333333333333334, 'cough': 0.6666666666666666}",0.001
encephalitis,"{'insomnia': 0.851063829787234, 'disturbance of memory': 0.7127659574468085, 'dizziness': 0.648936170212766, 'loss of sensation': 0.6276595744680851, 'headache': 0.5}",0.002
endocarditis,"{'irregular heartbeat': 0.8554216867469879, 'palpitations': 0.8433734939759037, 'shortness of breath': 0.5903614457831325, 'sharp chest pain': 0.5783132530120482, 'dizziness': 0.5180722891566265, 'increased heart rate': 0.4819277108433735}",0.001
endometrial cancer,"{'absence of menstruation': 0.7954545454545454, 'hot flashes': 0.75, 'vaginal itching': 0.7386363636363636, 'vaginal bleeding after menopause': 0.6022727272727273, 'intermenstrual bleeding': 0.5113636363636364}",0.002
endometrial hyperplasia,"{'involuntary urination': 0.9591836734693877, 'back weakness': 0.8367346938775511, 'vaginal bleeding after menopause': 0.673469387755102, 'heavy menstrual flow': 0.5918367346938775, 'unpredictable menstruation': 0.3877551020408163}",0.001
endometriosis,"{'hot flashes': 0.8015873015873016, 'lower abdominal pain': 0.5396825396825397, 'burning abdominal pain': 0.5317460317460317, 'intermenstrual bleeding': 0.5158730158730159, 'infertility': 0.5158730158730159, 'pelvic pain': 0.5079365079365079, 'painful menstruation': 0.5079365079365079, 'sharp abdominal pain': 0.4973544973544973, 'heavy menstrual flow': 0.48677248677248675}",0.05
endophthalmitis,"{'painful urination': 0.8852459016393442, 'diminished vision': 0.6229508196721312, 'pain in eye': 0.5737704918032787, 'eye redness': 0.5573770491803278, 'swollen eye': 0.5245901639344263, 'itchiness of eye': 0.4262295081967213}",0.0005
envenomation from spider or animal bite,"{'arm swelling': 0.7450549450549451, 'itching of skin': 0.6835164835164835, 'paresthesia': 0.5186813186813187, 'hand or finger swelling': 0.5164835164835165, 'fluid retention': 0.512087912087912, 'allergic reaction': 0.5098901098901099, 'skin swelling': 0.4945054945054945, 'abnormal appearing skin': 0.49230769230769234, 'foot or toe swelling': 0.4835164835164835}",0.0005
ependymoma,"{'headache': 1.0, 'emotional symptoms': 0.8947368421052632, 'diminished vision': 0.7368421052631579, 'pain in eye': 0.631578947368421}",0.001
epididymitis,"{'mass in scrotum': 0.6908023483365949, 'painful urination': 0.6594911937377691, 'retention of urine': 0.6418786692759295, 'sharp abdominal pain': 0.5322896281800391, 'groin pain': 0.5322896281800391, 'pain in testicles': 0.5146771037181996, 'swelling of scrotum': 0.50293542074364, 'side pain': 0.50293542074364, 'lower body pain': 0.48532289628180036}",0.02
epidural hemorrhage,"{'depressive or psychotic symptoms': 1.0, 'dizziness': 1.0, 'emotional symptoms': 0.7}",0.003
epilepsy,"{'lack of growth': 0.8, 'abnormal involuntary movements': 0.5333333333333333, 'disturbance of memory': 0.5333333333333333, 'seizures': 0.5066666666666667, 'difficulty speaking': 0.4533333333333333, 'muscle weakness': 0.4533333333333333, 'headache': 0.4266666666666667}",0.01
erectile dysfunction,"{'involuntary urination': 0.7574257425742574, 'loss of sex drive': 0.5363036303630363, 'symptoms of prostate': 0.5198019801980198, 'frequent urination': 0.5165016501650165, 'blood in urine': 0.5132013201320133, 'impotence': 0.5132013201320133, 'excessive urination at night': 0.5099009900990099, 'pain during intercourse': 0.48514851485148514, 'pain in testicles': 0.48184818481848185, 'retention of urine': 0.47029702970297027}",0.1
erythema multiforme,"{'difficulty in swallowing': 0.8837209302325582, 'vomiting': 0.8372093023255814, 'skin rash': 0.7674418604651163, 'fever': 0.5348837209302325, 'mouth ulcer': 0.4883720930232558}",0.001
esophageal cancer,"{'sharp abdominal pain': 0.8961038961038961, 'stomach bloating': 0.7662337662337663, 'shortness of breath': 0.7272727272727273, 'decreased appetite': 0.5974025974025974, 'hoarse voice': 0.5324675324675324}",0.002
esophageal varices,"{'dizziness': 1.0, 'nausea': 1.0}",0.005
esophagitis,"{'difficulty in swallowing': 0.5259259259259259, 'upper abdominal pain': 0.5234567901234568, 'vomiting': 0.5176954732510288, 'sore throat': 0.5102880658436214, 'cough': 0.5037037037037037, 'sharp chest pain': 0.502880658436214, 'nausea': 0.502880658436214, 'chest tightness': 0.5004115226337449, 'heartburn': 0.49958847736625517, 'sharp abdominal pain': 0.4905349794238683, 'shortness of breath': 0.4740740740740741, 'burning abdominal pain': 0.4732510288065844}",0.01
essential tremor,"{'hoarse voice': 0.8615384615384616, 'dizziness': 0.7282051282051282, 'loss of sensation': 0.676923076923077, 'abnormal involuntary movements': 0.5743589743589743, 'problems with movement': 0.5076923076923077, 'muscle pain': 0.5025641025641026, 'disturbance of memory': 0.441025641025641}",0.01
eustachian tube dysfunction (ear disorder),"{'sore throat': 0.6622662266226622, 'abnormal breathing sounds': 0.5368536853685368, 'ringing in ear': 0.5291529152915292, 'ear pain': 0.5225522552255225, 'diminished hearing': 0.5016501650165016, 'swollen or red tonsils': 0.49944994499449946, 'redness in ear': 0.49834983498349833, 'dizziness': 0.49504950495049505, 'allergic reaction': 0.49504950495049505, 'plugged feeling in ear': 0.49394939493949397, 'nasal congestion': 0.4884488448844885}",0.02
extrapyramidal effect of drugs,"{'headache': 0.891566265060241, 'restlessness': 0.8313253012048193, 'abnormal involuntary movements': 0.6265060240963856, 'seizures': 0.5542168674698795, 'anxiety and nervousness': 0.5421686746987951, 'arm stiffness or tightness': 0.5301204819277109}",0.005
eye alignment disorder,"{'lack of growth': 0.7549668874172185, 'irregular appearing scalp': 0.6931567328918322, 'double vision': 0.543046357615894, 'symptoms of eye': 0.5320088300220751, 'eye moves abnormally': 0.5320088300220751, 'cross-eyed': 0.5099337748344371, 'eye deviation': 0.5077262693156733, 'pain in eye': 0.4768211920529801, 'diminished vision': 0.47240618101545256}",0.01
factitious disorder,"{'depression': 1.0, 'elbow weakness': 0.8461538461538461, 'depressive or psychotic symptoms': 0.7692307692307693, 'disturbance of memory': 0.7692307692307693}",0.001
female genitalia infection,"{'skin swelling': 0.8629441624365483, 'vaginal discharge': 0.700507614213198, 'skin lesion': 0.6802030456852792, 'vulvar irritation': 0.5431472081218274, 'vaginal pain': 0.5228426395939086, 'vulvar sore': 0.49238578680203043, 'groin pain': 0.4517766497461929}",0.02
female infertility of unknown cause,"{'pain during intercourse': 0.8928571428571429, 'long menstrual periods': 0.6428571428571429, 'infertility': 0.6428571428571429, 'unpredictable menstruation': 0.5357142857142857, 'scanty menstrual flow': 0.42857142857142855}",0.05
fetal alcohol syndrome,"{'depressive or psychotic symptoms': 1.0, 'emotional symptoms': 0.8571428571428571, 'excessive anger': 0.7142857142857143}",0.001
fibroadenoma,"{'vaginal dryness': 0.8247422680412371, 'hot flashes': 0.7010309278350515, 'bones are painful': 0.6907216494845361, 'pain or soreness of breast': 0.6185567010309279, 'bleeding or discharge from nipple': 0.5670103092783505, 'lump or mass of breast': 0.4845360824742268}",0.005
fibrocystic breast disease,"{'intermenstrual bleeding': 0.9285714285714286, 'bleeding or discharge from nipple': 0.7142857142857143, 'pain or soreness of breast': 0.7142857142857143, 'lump or mass of breast': 0.5714285714285714}",0.03
fibromyalgia,"{'low back pain': 0.7149390243902439, 'hip pain': 0.6707317073170732, 'leg pain': 0.5137195121951219, 'arm pain': 0.5121951219512195, 'muscle pain': 0.5091463414634146, 'neck pain': 0.5076219512195121, 'headache': 0.5045731707317073, 'ache all over': 0.5015243902439024, 'sharp chest pain': 0.4969512195121951, 'back pain': 0.4847560975609756}",0.03
flat feet,"{'skin swelling': 0.9696969696969697, 'problems with movement': 0.8181818181818182, 'foot or toe pain': 0.7272727272727273, 'ankle pain': 0.6666666666666666, 'knee pain': 0.6060606060606061}",0.1
floaters,"{'symptoms of eye': 0.7916666666666666, 'foreign body sensation in eye': 0.6666666666666666, 'lacrimation': 0.6666666666666666, 'diminished vision': 0.5416666666666666, 'spots or clouds in vision': 0.4583333333333333}",0.1
flu,"{'sore throat': 0.6612665684830633, 'headache': 0.6539027982326951, 'nausea': 0.5257731958762887, 'chills': 0.5139911634756995, 'diarrhea': 0.5110456553755522, 'ache all over': 0.5095729013254786, 'coryza': 0.4992636229749632, 'cough': 0.4948453608247423, 'fever': 0.48306332842415317, 'vomiting': 0.4801178203240059}",0.3
fluid overload,"{'nausea': 0.7553516819571865, 'vomiting': 0.6880733944954128, 'sharp chest pain': 0.6819571865443425, 'shortness of breath': 0.5382262996941896, 'hand or finger swelling': 0.5290519877675841, 'peripheral edema': 0.5076452599388379, 'sharp abdominal pain': 0.4954128440366973, 'fluid retention': 0.47706422018348627}",0.01
folate deficiency,"{'sharp abdominal pain': 0.9090909090909091, 'vomiting blood': 0.8636363636363636, 'difficulty breathing': 0.8409090909090909, 'shortness of breath': 0.5681818181818182, 'sharp chest pain': 0.4772727272727273}",0.02
food allergy,"{'lip swelling': 0.7422907488986784, 'cough': 0.6850220264317181, 'allergic reaction': 0.526431718061674, 'abnormal appearing skin': 0.5154185022026432, 'itching of skin': 0.5110132158590308, 'hand or finger swelling': 0.5066079295154186, 'vomiting': 0.4933920704845815, 'skin rash': 0.4911894273127753, 'nasal congestion': 0.486784140969163}",0.1
foreign body in the ear,"{'throat feels tight': 0.88, 'ear pain': 0.52, 'bleeding from ear': 0.52, 'diminished hearing': 0.4, 'fluid in ear': 0.4}",0.005
foreign body in the eye,"{'white discharge from eye': 0.8185053380782918, 'symptoms of eye': 0.6797153024911032, 'eye redness': 0.5302491103202847, 'itchiness of eye': 0.5231316725978647, 'eye burns or stings': 0.5160142348754448, 'foreign body sensation in eye': 0.501779359430605, 'pain in eye': 0.498220640569395, 'lacrimation': 0.4626334519572954}",0.005
foreign body in the gastrointestinal tract,"{'recent weight loss': 0.8188976377952756, 'lump in throat': 0.7795275590551181, 'vomiting blood': 0.6377952755905512, 'difficulty in swallowing': 0.5590551181102362, 'vomiting': 0.5196850393700787, 'sharp abdominal pain': 0.4566929133858268}",0.01
foreign body in the nose,"{'nasal congestion': 1.0, 'regurgitation.1': 1.0}",0.005
foreign body in the throat,"{'throat swelling': 0.8782051282051282, 'shortness of breath': 0.7307692307692307, 'sore throat': 0.5512820512820513, 'difficulty in swallowing': 0.5384615384615384, 'vomiting': 0.5192307692307693, 'cough': 0.5128205128205128, 'infant spitting up': 0.5128205128205128}",0.005
foreign body in the vagina,"{'emotional symptoms': 0.9047619047619048, 'painful urination': 0.8571428571428571, 'vaginal discharge': 0.47619047619047616}",0.005
fracture of the ankle,"{'foot or toe pain': 0.6111111111111112, 'knee weakness': 0.5277777777777778, 'ankle swelling': 0.5277777777777778, 'ankle pain': 0.5, 'ankle weakness': 0.5, 'leg pain': 0.4722222222222222, 'foot or toe swelling': 0.3611111111111111}",0.02
fracture of the arm,"{'shoulder stiffness or tightness': 0.6887871853546911, 'wrist swelling': 0.5560640732265446, 'arm pain': 0.540045766590389, 'elbow pain': 0.5308924485125858, 'elbow swelling': 0.5194508009153318, 'shoulder pain': 0.5125858123569794, 'arm swelling': 0.5011441647597255, 'wrist pain': 0.4965675057208238, 'arm stiffness or tightness': 0.4874141876430206, 'wrist stiffness or tightness': 0.45080091533180777}",0.02
fracture of the facial bones,"{'lip swelling': 0.7616926503340757, 'pain in eye': 0.6948775055679287, 'double vision': 0.5211581291759465, 'facial pain': 0.5167037861915368, 'headache': 0.5144766146993318, 'peripheral edema': 0.5144766146993318, 'redness in or around nose': 0.5055679287305123, 'swollen eye': 0.5011135857461024, 'abusing alcohol': 0.48997772828507796}",0.01
fracture of the finger,"{'foot or toe pain': 0.75, 'hand or finger swelling': 0.625, 'hand or finger pain': 0.5, 'hand or finger stiffness or tightness': 0.5, 'foot or toe swelling': 0.375}",0.02
fracture of the foot,"{'foot or toe pain': 0.7857142857142857, 'foot or toe weakness': 0.6428571428571429, 'ankle pain': 0.5714285714285714, 'foot or toe swelling': 0.5714285714285714, 'ankle swelling': 0.5714285714285714, 'foot or toe stiffness or tightness': 0.5}",0.02
fracture of the hand,"{'arm stiffness or tightness': 0.6216216216216216, 'wrist swelling': 0.5855855855855856, 'arm pain': 0.5225225225225225, 'wrist stiffness or tightness': 0.5225225225225225, 'hand or finger pain': 0.5135135135135135, 'wrist pain': 0.5135135135135135, 'hand or finger swelling': 0.5045045045045045, 'hand or finger stiffness or tightness': 0.4864864864864865}",0.02
fracture of the jaw,"{'bones are painful': 0.8533333333333334, 'pain in eye': 0.76, 'facial pain': 0.6533333333333333, 'peripheral edema': 0.5866666666666667, 'jaw swelling': 0.5466666666666666, 'mouth pain': 0.48}",0.01
fracture of the leg,"{'knee weakness': 0.6622418879056047, 'leg stiffness or tightness': 0.6415929203539823, 'ankle swelling': 0.5206489675516224, 'knee swelling': 0.5147492625368731, 'hip pain': 0.5117994100294986, 'problems with movement': 0.5088495575221239, 'leg swelling': 0.504424778761062, 'knee pain': 0.49262536873156343, 'leg pain': 0.48525073746312686, 'ankle pain': 0.47935103244837757}",0.02
fracture of the neck,"{'lower body pain': 0.7560975609756098, 'elbow pain': 0.7073170731707317, 'leg pain': 0.5365853658536586, 'hip pain': 0.5365853658536586, 'low back pain': 0.43902439024390244}",0.001
fracture of the patella,"{'bones are painful': 0.8734177215189873, 'hip pain': 0.7341772151898734, 'knee pain': 0.6075949367088608, 'leg weakness': 0.5949367088607594, 'knee swelling': 0.569620253164557, 'leg pain': 0.5569620253164557}",0.01
fracture of the pelvis,"{'difficulty speaking': 0.8206521739130435, 'knee pain': 0.75, 'ache all over': 0.5380434782608695, 'back pain': 0.532608695652174, 'hip pain': 0.4891304347826087, 'leg pain': 0.4782608695652174, 'groin pain': 0.4673913043478261}",0.005
fracture of the rib,"{'shortness of breath': 0.6643990929705216, 'back pain': 0.528344671201814, 'rib pain': 0.528344671201814, 'back mass or lump': 0.5238095238095238, 'side pain': 0.5226757369614512, 'sharp chest pain': 0.5192743764172335, 'bones are painful': 0.5192743764172335, 'hurts to breath': 0.5192743764172335, 'ache all over': 0.5068027210884354, 'hip pain': 0.5045351473922902, 'shoulder pain': 0.5011337868480725}",0.01
fracture of the shoulder,"{'neck swelling': 0.8333333333333334, 'shoulder swelling': 0.6481481481481481, 'shoulder pain': 0.5370370370370371, 'bones are painful': 0.5308641975308642, 'arm pain': 0.5123456790123457, 'arm stiffness or tightness': 0.5123456790123457, 'shoulder stiffness or tightness': 0.46296296296296297}",0.01
fracture of the skull,"{'depressive or psychotic symptoms': 0.9076923076923077, 'drug abuse': 0.7846153846153846, 'vomiting': 0.7846153846153846, 'diminished hearing': 0.6, 'headache': 0.5538461538461539}",0.005
fracture of the vertebra,"{'hand or finger stiffness or tightness': 0.7851851851851852, 'bones are painful': 0.6962962962962963, 'low back pain': 0.5666666666666667, 'neck pain': 0.5592592592592592, 'back pain': 0.5259259259259259, 'pelvic pain': 0.5111111111111111, 'hip pain': 0.4925925925925926, 'leg stiffness or tightness': 0.45185185185185184}",0.01
friedrich ataxia,"{'cough': 1.0, 'knee lump or mass': 1.0, 'ear pain': 0.6}",0.001
frostbite,"{'sharp chest pain': 1.0, 'elbow weakness': 0.9166666666666666, 'foot or toe pain': 0.8333333333333334}",0.001
fungal infection of the hair,"{'skin growth': 0.5181518151815182, 'skin rash': 0.5107260726072608, 'pelvic pain': 0.5099009900990099, 'irregular appearing scalp': 0.509075907590759, 'skin lesion': 0.5082508250825083, 'acne or pimples': 0.5016501650165016, 'itching of skin': 0.5, 'itchy scalp': 0.49587458745874585, 'abnormal appearing skin': 0.49504950495049505, 'skin swelling': 0.485973597359736, 'skin irritation': 0.48514851485148514, 'skin dryness, peeling, scaliness, or roughness': 0.4793729372937294}",0.02
