Disease,Recommendations,Doctor
endophthalmitis,"['Consult an eye care specialist for urgent evaluation', 'Consider antibiotic treatment', 'Monitor for vision changes']",Ophthalmologist
envenomation from spider or animal bite,"['Seek immediate medical attention', 'Consider antivenom or supportive care', 'Monitor for allergic reactions']",Toxicologist
ependymoma,"['Consult a neurologist for evaluation', 'Consider surgical intervention and radiation therapy', 'Engage in follow-up care']",Neurosurgeon
epididymitis,"['Consult a healthcare provider for evaluation', 'Consider antibiotics and pain management', 'Monitor for complications']",Urologist
epidural hemorrhage,"['Seek immediate medical attention', 'Consider imaging studies for assessment', 'Engage in surgical intervention if necessary']",Neurosurgeon
epilepsy,"['Consult a neurologist for management', 'Consider antiepileptic medications', 'Engage in lifestyle modifications']",Neurologist
erectile dysfunction,"['Consult a healthcare provider for evaluation', 'Consider lifestyle modifications and medications', 'Engage in counseling if necessary']",Urologist
erythema multiforme,"['Consult a healthcare provider for evaluation', 'Consider supportive care and symptom management', 'Monitor for progression to more severe forms']",Dermatologist
esophageal cancer,"['Consult an oncologist for evaluation', 'Consider treatment options based on stage', 'Engage in regular follow-up care']",Oncologist
esophageal varices,"['Consult a gastroenterologist for evaluation', 'Consider medications and lifestyle modifications', 'Monitor for bleeding complications']",Gastroenterologist
esophagitis,"['Consult a healthcare provider for evaluation', 'Consider dietary modifications and medications', 'Monitor for complications']",Gastroenterologist
essential tremor,"['Consult a neurologist for management', 'Consider medications for symptom relief', 'Engage in physical therapy']",Neurologist
eustachian tube dysfunction (ear disorder),"['Consult an ear, nose, and throat specialist', 'Consider nasal decongestants or corticosteroids', 'Engage in exercises to equalize pressure']",ENT Specialist
extrapyramidal effect of drugs,"['Consult a healthcare provider for evaluation', 'Consider adjusting or changing medications', 'Monitor for symptoms and side effects']",Neurologist
eye alignment disorder,"['Consult an eye care specialist for evaluation', 'Consider corrective lenses or surgery if necessary', 'Engage in vision therapy']",Ophthalmologist
factitious disorder,"['Consult a mental health professional for evaluation', 'Engage in psychotherapy', 'Consider family therapy']",Psychiatrist
female genitalia infection,"['Consult a healthcare provider for evaluation', 'Consider appropriate antifungal or antibiotic treatments', 'Engage in preventive measures']",Gynecologist
female infertility of unknown cause,"['Consult a fertility specialist for evaluation', 'Consider lifestyle modifications and support', 'Engage in assisted reproductive technologies if necessary']",Gynecologist
fetal alcohol syndrome,"['Consult a healthcare provider for evaluation', 'Engage in supportive care and monitoring', 'Consider educational interventions']",Pediatrician
fibroadenoma,"['Consult a healthcare provider for evaluation', 'Consider monitoring and imaging studies', 'Engage in regular follow-up care']",Gynecologist
fibrocystic breast disease,"['Consult a healthcare provider for evaluation', 'Consider lifestyle modifications for symptom relief', 'Monitor for changes in breast tissue']",Gynecologist
fibromyalgia,"['Consult a healthcare provider for evaluation', 'Engage in pain management strategies and therapies', 'Consider support groups']",Rheumatologist
flat feet,"['Consult a healthcare provider for evaluation', 'Consider arch supports or orthotics', 'Engage in physical therapy if necessary']",Orthopedic Specialist
floaters,"['Consult an eye care specialist for evaluation', 'Monitor for changes in vision or symptoms', 'Consider treatment if associated with other symptoms']",Ophthalmologist
flu,"['Consult a healthcare provider for evaluation', 'Consider antiviral medications if early', 'Engage in rest and hydration']",General Practitioner
fluid overload,"['Consult a healthcare provider for evaluation', 'Consider diuretics for fluid management', 'Monitor electrolyte levels']",Nephrologist
folate deficiency,"['Consult a healthcare provider for evaluation', 'Consider dietary modifications and supplementation', 'Monitor blood levels regularly']",Hematologist
food allergy,"['Consult an allergist for evaluation', 'Consider avoidance of identified allergens', 'Carry an epinephrine auto-injector if severe']",Allergist
foreign body in the ear,"['Seek immediate medical attention for removal', 'Avoid attempts to remove it yourself', 'Monitor for signs of infection']",ENT Specialist
foreign body in the eye,"['Seek immediate medical attention for removal', 'Avoid rubbing the eye', 'Monitor for pain or vision changes']",Ophthalmologist
foreign body in the gastrointestinal tract,"['Consult a healthcare provider for evaluation', 'Consider imaging studies to locate the object', 'Monitor for symptoms of obstruction or perforation']",Gastroenterologist
foreign body in the nose,"['Seek immediate medical attention for removal', 'Avoid attempts to remove it yourself', 'Monitor for signs of infection']",ENT Specialist
foreign body in the throat,"['Seek immediate medical attention', 'Consider assessment for airway obstruction', 'Monitor for respiratory distress']",ENT Specialist
foreign body in the vagina,"['Seek medical attention for removal', 'Avoid attempts to remove it yourself', 'Monitor for signs of infection']",Gynecologist
fracture of the ankle,"['Consult an orthopedic specialist for evaluation', 'Consider imaging studies for assessment', 'Engage in appropriate rest and immobilization']",Orthopedic Specialist
fracture of the arm,"['Consult an orthopedic specialist for evaluation', 'Consider imaging studies for assessment', 'Engage in appropriate rest and immobilization']",Orthopedic Specialist
fracture of the facial bones,"['Consult an oral and maxillofacial surgeon for evaluation', 'Consider imaging studies for assessment', 'Engage in appropriate rest and immobilization']",Oral and Maxillofacial Surgeon
fracture of the finger,"['Consult an orthopedic specialist for evaluation', 'Consider imaging studies for assessment', 'Engage in appropriate rest and immobilization']",Orthopedic Specialist
fracture of the foot,"['Consult an orthopedic specialist for evaluation', 'Consider imaging studies for assessment', 'Engage in appropriate rest and immobilization']",Orthopedic Specialist
fracture of the hand,"['Consult an orthopedic specialist for evaluation', 'Consider imaging studies for assessment', 'Engage in appropriate rest and immobilization']",Orthopedic Specialist
fracture of the jaw,"['Consult an oral and maxillofacial surgeon for evaluation', 'Consider imaging studies for assessment', 'Engage in appropriate rest and immobilization']",Oral and Maxillofacial Surgeon
fracture of the leg,"['Consult an orthopedic specialist for evaluation', 'Consider imaging studies for assessment', 'Engage in appropriate rest and immobilization']",Orthopedic Specialist
fracture of the neck,"['Seek immediate medical attention', 'Consider imaging studies for assessment', 'Engage in appropriate rest and immobilization']",Orthopedic Specialist
fracture of the patella,"['Consult an orthopedic specialist for evaluation', 'Consider imaging studies for assessment', 'Engage in appropriate rest and immobilization']",Orthopedic Specialist
fracture of the pelvis,"['Consult an orthopedic specialist for evaluation', 'Consider imaging studies for assessment', 'Engage in appropriate rest and immobilization']",Orthopedic Specialist
fracture of the rib,"['Consult a healthcare provider for evaluation', 'Consider pain management and breathing exercises', 'Monitor for complications such as pneumothorax']",Orthopedic Specialist
fracture of the shoulder,"['Consult an orthopedic specialist for evaluation', 'Consider imaging studies for assessment', 'Engage in appropriate rest and immobilization']",Orthopedic Specialist
fracture of the skull,"['Seek immediate medical attention', 'Consider imaging studies for assessment', 'Monitor for neurological symptoms']",Neurosurgeon
fracture of the vertebra,"['Seek immediate medical attention', 'Consider imaging studies for assessment', 'Engage in appropriate rest and immobilization']",Orthopedic Specialist
friedrich ataxia,"['Consult a neurologist for management', 'Consider physical therapy and rehabilitation', 'Engage in genetic counseling']",Neurologist
frostbite,"['Seek immediate medical attention', 'Consider gradual warming and pain management', 'Monitor for complications such as infection']",Emergency Medicine Specialist
fungal infection of the hair,"['Consult a dermatologist for evaluation', 'Consider antifungal treatments', 'Monitor for improvement and follow up']",Dermatologist
fungal infection of the skin,"['Consult a dermatologist for evaluation', 'Consider antifungal treatments', 'Engage in proper skin hygiene']",Dermatologist
g6pd enzyme deficiency,"['Consult a healthcare provider for management', 'Avoid triggers that may cause hemolysis', 'Engage in regular follow-up care']",Hematologist
galactorrhea of unknown cause,"['Consult a healthcare provider for evaluation', 'Consider hormonal assessment and imaging studies', 'Monitor for associated symptoms']",Endocrinologist
gallstone,"['Consult a gastroenterologist for evaluation', 'Consider dietary modifications and monitoring', 'Engage in surgical intervention if symptomatic']",Gastroenterologist
ganglion cyst,"['Consult a healthcare provider for evaluation', 'Consider observation or aspiration if symptomatic', 'Monitor for changes in size or symptoms']",Orthopedic Specialist
gas gangrene,"['Seek immediate medical attention', 'Consider surgical intervention and antibiotics', 'Monitor for systemic symptoms']",Vascular Surgeon
gastritis,"['Consult a gastroenterologist for evaluation', 'Consider dietary modifications and medications', 'Monitor for complications']",Gastroenterologist
gastroduodenal ulcer,"['Consult a gastroenterologist for evaluation', 'Consider medications for acid reduction', 'Engage in dietary modifications']",Gastroenterologist
gastroesophageal reflux disease (gerd),"['Consult a gastroenterologist for management', 'Consider lifestyle modifications and medications', 'Monitor for complications']",Gastroenterologist
gastrointestinal hemorrhage,"['Seek immediate medical attention', 'Consider imaging studies for assessment', 'Engage in supportive care and monitoring']",Gastroenterologist
gastroparesis,"['Consult a gastroenterologist for evaluation', 'Consider dietary modifications and medications', 'Engage in supportive care']",Gastroenterologist
genital herpes,"['Consult a healthcare provider for evaluation', 'Consider antiviral medications for management', 'Engage in safe sex practices']",Infectious Disease Specialist
gestational diabetes,"['Consult an obstetrician for management', 'Consider dietary modifications and monitoring blood sugar', 'Engage in regular follow-up care']",Obstetrician
glaucoma,"['Consult an ophthalmologist for evaluation', 'Consider medications or surgical options for management', 'Engage in regular eye exams']",Ophthalmologist
glucocorticoid deficiency,"['Consult an endocrinologist for evaluation', 'Consider hormone replacement therapy', 'Monitor for symptoms and complications']",Endocrinologist
goiter,"['Consult a healthcare provider for evaluation', 'Consider thyroid function tests and imaging studies', 'Engage in monitoring or treatment if necessary']",Endocrinologist
gonorrhea,"['Consult a healthcare provider for evaluation', 'Consider antibiotic treatment', 'Engage in safe sex practices']",Infectious Disease Specialist
gout,"['Consult a healthcare provider for management', 'Consider dietary modifications and medications', 'Engage in lifestyle modifications']",Rheumatologist
granuloma inguinale,"['Consult a healthcare provider for evaluation', 'Consider antibiotic treatment', 'Monitor for resolution of symptoms']",Infectious Disease Specialist
graves disease,"['Consult an endocrinologist for evaluation', 'Consider antithyroid medications or radioactive iodine', 'Engage in regular follow-up care']",Endocrinologist
guillain barre syndrome,"['Seek immediate medical attention', 'Consider supportive care and monitoring', 'Engage in rehabilitation therapy']",Neurologist
gum disease,"['Consult a dentist for evaluation', 'Consider dental cleanings and treatments', 'Engage in proper oral hygiene practices']",Dentist
gynecomastia,"['Consult a healthcare provider for evaluation', 'Consider hormonal assessment and treatment if necessary', 'Monitor for changes']",Endocrinologist
hammer toe,"['Consult a podiatrist for evaluation', 'Consider orthotic devices or padding', 'Engage in foot exercises and stretching']",Podiatrist
hashimoto thyroiditis,"['Consult an endocrinologist for management', 'Consider thyroid hormone replacement therapy', 'Engage in regular follow-up care']",Endocrinologist
head and neck cancer,"['Consult an oncologist for evaluation', 'Consider imaging studies for staging', 'Engage in treatment planning based on type and stage']",Oncologist
head injury,"['Seek immediate medical attention for evaluation', 'Consider imaging studies to assess for bleeding or fractures', 'Monitor for neurological symptoms']",Neurologist
headache after lumbar puncture,"['Consult a healthcare provider for evaluation', 'Consider rest, hydration, and caffeine for relief', 'Monitor for severe symptoms or complications']",Neurologist
heart attack,"['Seek immediate medical attention', 'Consider cardiopulmonary resuscitation (CPR) if unresponsive', 'Engage in lifestyle modifications post-recovery']",Cardiologist
heart block,"['Consult a cardiologist for evaluation', 'Consider monitoring and potential pacemaker placement', 'Engage in lifestyle modifications and follow-up care']",Cardiologist
heart contusion,"['Consult a healthcare provider for evaluation', 'Consider imaging studies for assessment', 'Engage in rest and monitoring for complications']",Cardiologist
heart failure,"['Consult a cardiologist for management', 'Consider medications and lifestyle modifications', 'Engage in regular follow-up care']",Cardiologist
heat exhaustion,"['Move to a cooler environment and hydrate', 'Rest and monitor for symptoms', 'Seek medical attention if symptoms worsen']",Emergency Medicine Specialist
heat stroke,"['Seek immediate medical attention', 'Consider cooling measures and hydration', 'Monitor for organ damage and complications']",Emergency Medicine Specialist
hemangioma,"['Consult a dermatologist for evaluation', 'Consider monitoring or intervention if symptomatic', 'Engage in follow-up care']",Dermatologist
hemarthrosis,"['Consult an orthopedic specialist for evaluation', 'Consider joint aspiration and imaging studies', 'Monitor for underlying causes']",Orthopedic Specialist
hematoma,"['Consult a healthcare provider for evaluation', 'Consider monitoring and possible drainage', 'Engage in rest and supportive care']",General Practitioner
hemiplegia,"['Consult a neurologist for evaluation', 'Consider rehabilitation and physical therapy', 'Engage in supportive care and monitoring']",Neurologist
hemochromatosis,"['Consult a healthcare provider for evaluation', 'Consider phlebotomy and dietary modifications', 'Engage in regular follow-up care']",Hematologist
hemolytic anemia,"['Consult a hematologist for evaluation', 'Consider identifying and treating the underlying cause', 'Engage in supportive care and monitoring']",Hematologist
hemophilia,"['Consult a hematologist for management', 'Consider factor replacement therapy', 'Engage in genetic counseling']",Hematologist
hemorrhoids,"['Consult a healthcare provider for evaluation', 'Consider dietary modifications and topical treatments', 'Engage in proper bowel habits and hygiene']",Proctologist
hepatic encephalopathy,"['Consult a gastroenterologist for evaluation', 'Consider management of underlying liver disease', 'Engage in supportive care and monitoring']",Hepatologist
hepatitis due to a toxin,"['Consult a healthcare provider for evaluation', 'Consider removal of the toxin and supportive care', 'Monitor liver function tests']",Hepatologist
herniated disk,"['Consult an orthopedic specialist for evaluation', 'Consider physical therapy and pain management', 'Monitor for neurological symptoms']",Orthopedic Specialist
herpangina,"['Consult a healthcare provider for evaluation', 'Consider supportive care and hydration', 'Monitor for complications']",Pediatrician
hiatal hernia,"['Consult a gastroenterologist for evaluation', 'Consider dietary modifications and medications', 'Engage in monitoring and follow-up care']",Gastroenterologist
hidradenitis suppurativa,"['Consult a dermatologist for evaluation', 'Consider antibiotics and anti-inflammatory treatments', 'Engage in lifestyle modifications']",Dermatologist
high blood pressure,"['Consult a healthcare provider for management', 'Consider lifestyle modifications and medications', 'Engage in regular monitoring']",Cardiologist
hirschsprung disease,"['Consult a pediatric gastroenterologist for evaluation', 'Consider surgical intervention if necessary', 'Engage in follow-up care']",Pediatric Surgeon
hirsutism,"['Consult a healthcare provider for evaluation', 'Consider hormonal assessment and treatment options', 'Engage in supportive care']",Endocrinologist
histoplasmosis,"['Consult a healthcare provider for evaluation', 'Consider antifungal treatment if symptomatic', 'Monitor for complications']",Infectious Disease Specialist
hormone disorder,"['Consult an endocrinologist for evaluation', 'Consider hormonal assessments and treatment options', 'Engage in regular follow-up care']",Endocrinologist
hpv,"['Consult a healthcare provider for evaluation', 'Consider vaccination and regular screenings', 'Engage in safe sex practices']",Gynecologist
human immunodeficiency virus infection (hiv),"['Consult an infectious disease specialist for management', 'Consider antiretroviral therapy', 'Engage in regular follow-up care']",Infectious Disease Specialist
huntington disease,"['Consult a neurologist for evaluation', 'Consider genetic counseling and support services', 'Engage in symptomatic management']",Neurologist
hydatidiform mole,"['Consult an obstetrician for evaluation', 'Consider monitoring for complications', 'Engage in follow-up care']",Obstetrician
hydrocele of the testicle,"['Consult a urologist for evaluation', 'Consider monitoring or surgical intervention if symptomatic', 'Engage in follow-up care']",Urologist
hydrocephalus,"['Consult a neurologist for evaluation', 'Consider imaging studies and possible shunt placement', 'Engage in regular follow-up care']",Neurosurgeon
hydronephrosis,"['Consult a urologist for evaluation', 'Consider imaging studies for assessment', 'Monitor for underlying causes and treatment']",Urologist
hypercalcemia,"['Consult a healthcare provider for evaluation', 'Consider identifying and treating the underlying cause', 'Monitor calcium levels regularly']",Endocrinologist
hypercholesterolemia,"['Consult a healthcare provider for management', 'Consider dietary modifications and statin therapy', 'Engage in regular monitoring']",Cardiologist
hyperemesis gravidarum,"['Consult an obstetrician for management', 'Consider medications and hydration therapy', 'Engage in follow-up care']",Obstetrician
hypergammaglobulinemia,"['Consult a healthcare provider for evaluation', 'Consider identifying and treating the underlying cause', 'Engage in regular monitoring']",Hematologist
hyperhidrosis,"['Consult a dermatologist for evaluation', 'Consider topical treatments or Botox injections', 'Engage in lifestyle modifications']",Dermatologist
hyperkalemia,"['Consult a healthcare provider for evaluation', 'Consider dietary modifications and possible medications', 'Monitor potassium levels regularly']",Nephrologist
hyperlipidemia,"['Consult a healthcare provider for management', 'Consider dietary modifications and statin therapy', 'Engage in regular monitoring']",Cardiologist
hypernatremia,"['Consult a healthcare provider for evaluation', 'Consider fluid management and dietary modifications', 'Monitor sodium levels regularly']",Nephrologist
hyperopia,"['Consult an optometrist or ophthalmologist for evaluation', 'Consider corrective lenses or surgery if necessary', 'Engage in regular eye exams']",Ophthalmologist
hyperosmotic hyperketotic state,"['Seek immediate medical attention', 'Consider hydration and insulin therapy', 'Monitor for complications']",Endocrinologist
hypertension of pregnancy,"['Consult an obstetrician for management', 'Consider monitoring and lifestyle modifications', 'Engage in regular follow-up care']",Obstetrician
hypertensive heart disease,"['Consult a cardiologist for evaluation', 'Consider blood pressure management and lifestyle changes', 'Engage in regular monitoring']",Cardiologist
hypertrophic obstructive cardiomyopathy (hocm),"['Consult a cardiologist for evaluation', 'Consider monitoring and possible interventions', 'Engage in lifestyle modifications']",Cardiologist
hypocalcemia,"['Consult a healthcare provider for evaluation', 'Consider calcium and vitamin D supplementation', 'Monitor serum calcium levels regularly']",Endocrinologist
hypoglycemia,"['Consume fast-acting carbohydrates immediately', 'Consult a healthcare provider for evaluation', 'Consider long-term dietary adjustments']",Endocrinologist
hypokalemia,"['Consult a healthcare provider for evaluation', 'Consider potassium supplementation and dietary changes', 'Monitor serum potassium levels regularly']",Nephrologist
hyponatremia,"['Consult a healthcare provider for evaluation', 'Consider fluid management and dietary adjustments', 'Monitor serum sodium levels regularly']",Nephrologist
hypothermia,"['Seek immediate medical attention', 'Consider gradual rewarming techniques', 'Monitor for complications']",Emergency Medicine Specialist
hypothyroidism,"['Consult an endocrinologist for management', 'Consider thyroid hormone replacement therapy', 'Engage in regular follow-up care']",Endocrinologist
hypovolemia,"['Consult a healthcare provider for evaluation', 'Consider fluid resuscitation and monitoring', 'Identify and treat the underlying cause']",Nephrologist
idiopathic absence of menstruation,"['Consult a healthcare provider for evaluation', 'Consider hormonal assessments and management', 'Engage in follow-up care']",Gynecologist
idiopathic excessive menstruation,"['Consult a healthcare provider for evaluation', 'Consider hormonal assessments and treatment options', 'Monitor for anemia and complications']",Gynecologist
idiopathic infrequent menstruation,"['Consult a healthcare provider for evaluation', 'Consider hormonal assessments and management', 'Engage in follow-up care']",Gynecologist
idiopathic irregular menstrual cycle,"['Consult a healthcare provider for evaluation', 'Consider hormonal assessments and lifestyle modifications', 'Engage in follow-up care']",Gynecologist
idiopathic nonmenstrual bleeding,"['Consult a healthcare provider for evaluation', 'Consider identifying the cause and treatment options', 'Engage in follow-up care']",Gynecologist
idiopathic painful menstruation,"['Consult a healthcare provider for evaluation', 'Consider pain management and hormonal treatments', 'Engage in follow-up care']",Gynecologist
ileus,"['Consult a healthcare provider for evaluation', 'Consider bowel rest and monitoring', 'Engage in treatment of underlying causes']",Gastroenterologist
impetigo,"['Consult a healthcare provider for evaluation', 'Consider topical or oral antibiotics', 'Engage in proper hygiene measures']",Dermatologist
impulse control disorder,"['Consult a mental health professional for evaluation', 'Consider therapy and behavioral interventions', 'Engage in support groups if needed']",Psychiatrist
indigestion,"['Consult a healthcare provider for evaluation', 'Consider dietary modifications and medications', 'Monitor for complications']",Gastroenterologist
induced abortion,"['Consult a healthcare provider for evaluation', 'Consider counseling and follow-up care', 'Monitor for complications']",Obstetrician
infection of open wound,"['Consult a healthcare provider for evaluation', 'Consider wound care and antibiotics', 'Engage in proper hygiene measures']",General Surgeon
infectious gastroenteritis,"['Consult a healthcare provider for evaluation', 'Consider hydration and dietary modifications', 'Monitor for complications']",Infectious Disease Specialist
ingrown toe nail,"['Consult a podiatrist for evaluation', 'Consider proper nail care and possible removal', 'Engage in monitoring for infections']",Podiatrist
inguinal hernia,"['Consult a surgeon for evaluation', 'Consider surgical intervention if symptomatic', 'Engage in follow-up care']",General Surgeon
injury of the ankle,"['Consult a healthcare provider for evaluation', 'Consider imaging studies and rehabilitation', 'Engage in rest and monitoring']",Orthopedic Specialist
injury to internal organ,"['Seek immediate medical attention', 'Consider imaging studies and surgical intervention', 'Monitor for complications']",General Surgeon
injury to the abdomen,"['Seek immediate medical attention', 'Consider imaging studies for assessment', 'Monitor for internal bleeding or damage']",General Surgeon
injury to the arm,"['Consult a healthcare provider for evaluation', 'Consider imaging studies and rehabilitation', 'Engage in rest and monitoring']",Orthopedic Specialist
injury to the face,"['Consult a healthcare provider for evaluation', 'Consider imaging studies and possible plastic surgery', 'Engage in monitoring for complications']",Oral and Maxillofacial Surgeon
injury to the finger,"['Consult a healthcare provider for evaluation', 'Consider imaging studies and rehabilitation', 'Engage in rest and monitoring']",Orthopedic Specialist
injury to the hand,"['Consult a healthcare provider for evaluation', 'Consider imaging studies and rehabilitation', 'Engage in rest and monitoring']",Orthopedic Specialist
injury to the hip,"['Consult a healthcare provider for evaluation', 'Consider imaging studies and rehabilitation', 'Engage in rest and monitoring']",Orthopedic Specialist
injury to the knee,"['Consult a healthcare provider for evaluation', 'Consider imaging studies and rehabilitation', 'Engage in rest and monitoring']",Orthopedic Specialist
injury to the leg,"['Consult a healthcare provider for evaluation', 'Consider imaging studies and rehabilitation', 'Engage in rest and monitoring']",Orthopedic Specialist
injury to the shoulder,"['Consult a healthcare provider for evaluation', 'Consider imaging studies and rehabilitation', 'Engage in rest and monitoring']",Orthopedic Specialist
injury to the spinal cord,"['Seek immediate medical attention', 'Consider imaging studies and rehabilitation', 'Monitor for complications']",Neurosurgeon
injury to the trunk,"['Consult a healthcare provider for evaluation', 'Consider imaging studies and monitoring', 'Engage in supportive care']",Orthopedic Specialist
insect bite,"['Consult a healthcare provider for evaluation', 'Consider topical treatments and monitoring for reactions', 'Engage in proper hygiene measures']",Allergist
insulin overdose,"['Seek immediate medical attention', 'Consider monitoring and glucose administration', 'Engage in follow-up care']",Endocrinologist
interstitial lung disease,"['Consult a pulmonologist for evaluation', 'Consider imaging studies and pulmonary function tests', 'Engage in monitoring and treatment planning']",Pulmonologist
intertrigo (skin condition),"['Consult a healthcare provider for evaluation', 'Consider topical treatments and hygiene measures', 'Engage in follow-up care']",Dermatologist
intestinal cancer,"['Consult an oncologist for evaluation', 'Consider imaging studies and treatment planning', 'Engage in regular follow-up care']",Oncologist
intestinal disease,"['Consult a gastroenterologist for evaluation', 'Consider dietary modifications and management', 'Engage in monitoring and follow-up care']",Gastroenterologist
intestinal malabsorption,"['Consult a gastroenterologist for evaluation', 'Consider dietary adjustments and supplementation', 'Engage in monitoring and follow-up care']",Gastroenterologist
intestinal obstruction,"['Consult a healthcare provider for evaluation', 'Seek immediate medical attention if symptomatic', 'Consider surgical intervention if necessary']",Gastroenterologist
intracerebral hemorrhage,"['Seek immediate medical attention', 'Consider imaging studies and monitoring', 'Engage in supportive care']",Neurologist
intracranial abscess,"['Seek immediate medical attention', 'Consider imaging studies and surgical intervention', 'Engage in monitoring and treatment planning']",Neurosurgeon
intracranial hemorrhage,"['Seek immediate medical attention', 'Consider imaging studies and monitoring', 'Engage in supportive care']",Neurosurgeon
intussusception,"['Seek immediate medical attention', 'Consider imaging studies and possible surgical intervention', 'Monitor for complications']",Pediatrician
iridocyclitis,"['Consult an ophthalmologist for evaluation', 'Consider corticosteroid or immunosuppressive therapy', 'Engage in follow-up care']",Ophthalmologist
iron deficiency anemia,"['Consult a healthcare provider for evaluation', 'Consider iron supplementation and dietary modifications', 'Engage in regular follow-up care']",Hematologist
irritable bowel syndrome,"['Consult a gastroenterologist for evaluation', 'Consider dietary modifications and stress management', 'Engage in monitoring and follow-up care']",Gastroenterologist
ischemia of the bowel,"['Consult a healthcare provider for evaluation', 'Consider imaging studies and monitoring', 'Engage in surgical intervention if necessary']",Gastroenterologist
ischemic heart disease,"['Consult a cardiologist for evaluation', 'Consider lifestyle modifications and medications', 'Engage in regular follow-up care']",Cardiologist
itching of unknown cause,"['Consult a healthcare provider for evaluation', 'Consider allergy testing and topical treatments', 'Monitor for underlying conditions']",Dermatologist
jaw disorder,"['Consult a dentist or oral surgeon for evaluation', 'Consider imaging studies and management options', 'Engage in follow-up care']",Dentist
joint effusion,"['Consult a healthcare provider for evaluation', 'Consider aspiration and analysis of joint fluid', 'Engage in treatment of underlying causes']",Orthopedic Specialist
juvenile rheumatoid arthritis,"['Consult a pediatric rheumatologist for evaluation', 'Consider anti-inflammatory medications and therapy', 'Engage in regular follow-up care']",Pediatric Rheumatologist
kaposi sarcoma,"['Consult an oncologist for evaluation', 'Consider antiretroviral therapy if associated with HIV', 'Engage in treatment planning and follow-up']",Oncologist
kidney cancer,"['Consult an oncologist for evaluation', 'Consider imaging studies and treatment options', 'Engage in regular follow-up care']",Oncologist
kidney disease due to longstanding hypertension,"['Consult a nephrologist for evaluation', 'Consider blood pressure management and lifestyle changes', 'Engage in regular monitoring']",Nephrologist
kidney failure,"['Consult a nephrologist for evaluation', 'Consider dialysis or kidney transplant options', 'Engage in regular follow-up care']",Nephrologist
kidney stone,"['Consult a healthcare provider for evaluation', 'Consider pain management and hydration', 'Engage in monitoring and possible surgical intervention']",Urologist
knee ligament or meniscus tear,"['Consult an orthopedic surgeon for evaluation', 'Consider imaging studies and rehabilitation', 'Engage in monitoring and follow-up care']",Orthopedic Specialist
labyrinthitis,"['Consult an otolaryngologist for evaluation', 'Consider medications for symptoms and inflammation', 'Engage in monitoring for recovery']",Otolaryngologist
lactose intolerance,"['Consult a healthcare provider for evaluation', 'Consider dietary modifications and lactase supplements', 'Monitor for symptoms and adjust diet accordingly']",Gastroenterologist
laryngitis,"['Consult a healthcare provider for evaluation', 'Consider voice rest and hydration', 'Engage in monitoring for complications']",Otolaryngologist
lateral epicondylitis (tennis elbow),"['Consult a healthcare provider for evaluation', 'Consider physical therapy and pain management', 'Engage in monitoring and rehabilitation']",Orthopedic Specialist
leukemia,"['Consult a hematologist for evaluation', 'Consider chemotherapy and supportive care', 'Engage in regular follow-up care']",Oncologist
lewy body dementia,"['Consult a neurologist for evaluation', 'Consider medications for symptoms and support', 'Engage in monitoring and follow-up care']",Neurologist
lice,"['Consult a healthcare provider for evaluation', 'Consider topical treatments and proper hygiene', 'Engage in follow-up care and monitoring']",Dermatologist
lichen planus,"['Consult a dermatologist for evaluation', 'Consider topical or systemic treatments', 'Engage in monitoring for symptoms']",Dermatologist
lichen simplex,"['Consult a dermatologist for evaluation', 'Consider topical treatments and avoiding irritants', 'Engage in monitoring for symptoms']",Dermatologist
lipoma,"['Consult a healthcare provider for evaluation', 'Consider surgical removal if symptomatic or concerning', 'Engage in monitoring for changes']",Surgeon
liver cancer,"['Consult an oncologist for evaluation', 'Consider imaging studies and treatment options', 'Engage in regular follow-up care']",Oncologist
liver disease,"['Consult a hepatologist for evaluation', 'Consider lifestyle changes and monitoring', 'Engage in treatment of underlying causes']",Hepatologist
lumbago,"['Consult a healthcare provider for evaluation', 'Consider physical therapy and pain management', 'Engage in regular follow-up care']",Orthopedic Specialist
lung cancer,"['Consult an oncologist for evaluation', 'Consider imaging studies and treatment options', 'Engage in regular follow-up care']",Oncologist
lung contusion,"['Consult a healthcare provider for evaluation', 'Consider imaging studies and monitoring', 'Engage in supportive care']",Pulmonologist
lyme disease,"['Consult a healthcare provider for evaluation', 'Consider antibiotic treatment and monitoring', 'Engage in follow-up care']",Infectious Disease Specialist
lymphadenitis,"['Consult a healthcare provider for evaluation', 'Consider imaging studies and possible biopsy', 'Engage in treatment of underlying causes']",Infectious Disease Specialist
lymphangitis,"['Consult a healthcare provider for evaluation', 'Consider antibiotics and monitoring', 'Engage in follow-up care']",Infectious Disease Specialist
lymphedema,"['Consult a healthcare provider for evaluation', 'Consider compression therapy and physical therapy', 'Engage in monitoring and lifestyle adjustments']",Vascular Specialist
lymphogranuloma venereum,"['Consult a healthcare provider for evaluation', 'Consider antibiotic treatment and monitoring', 'Engage in follow-up care']",Infectious Disease Specialist
lymphoma,"['Consult an oncologist for evaluation', 'Consider chemotherapy and supportive care', 'Engage in regular follow-up care']",Oncologist
macular degeneration,"['Consult an ophthalmologist for evaluation', 'Consider vitamins and lifestyle modifications', 'Engage in monitoring and follow-up care']",Ophthalmologist
magnesium deficiency,"['Consult a healthcare provider for evaluation', 'Consider dietary modifications and supplements', 'Monitor for symptoms and adjustments']",Endocrinologist
