diseases,grouped symptoms,disease probability
diverticulitis,"{'blood in stool': 0.4744645799011532, 'sharp abdominal pain': 0.5172981878088962, 'vomiting': 0.4991762767710049, 'nausea': 0.5082372322899505, 'diarrhea': 0.5082372322899505, 'lower abdominal pain': 0.5123558484349259, 'burning abdominal pain': 0.4909390444810543, 'side pain': 0.4975288303130148, 'fever': 0.4909390444810543, 'upper abdominal pain': 0.4744645799011532, 'chills': 0.4983525535420098, 'constipation': 0.5263591433278418}",0.03
diverticulosis,"{'blood in stool': 0.4843982169390787, 'sharp abdominal pain': 0.5111441307578009, 'vomiting': 0.4858841010401188, 'nausea': 0.6805349182763745, 'diarrhea': 0.5037147102526003, 'lower abdominal pain': 0.5022288261515602, 'heartburn': 0.4992570579494799, 'upper abdominal pain': 0.512630014858841, 'melena': 0.4947994056463596, 'rectal bleeding': 0.674591381872214}",0.05
down syndrome,"{'difficulty speaking': 0.9133858267716536, 'cough': 0.5196850393700787, 'nasal congestion': 0.7165354330708661, 'lack of growth': 0.5984251968503937, 'decreased appetite': 0.5275590551181102, 'seizures': 0.5118110236220472}",0.001
drug abuse,"{'anxiety and nervousness': 0.4759535655058043, 'depression': 0.4975124378109453, 'depressive or psychotic symptoms': 0.472636815920398, 'abusing alcohol': 0.5207296849087893, 'hostile behavior': 0.494195688225539, 'drug abuse': 0.5373134328358209, 'smoking problems': 0.7545605306799337, 'delusions or hallucinations': 0.4908789386401326, 'sweating': 0.5074626865671642, 'antisocial behavior': 0.5472636815920398}",0.05
drug abuse (barbiturates),"{'anxiety and nervousness': 0.7741935483870968, 'depression': 0.8709677419354839, 'abnormal involuntary movements': 0.5806451612903226, 'hostile behavior': 0.6451612903225806, 'drug abuse': 0.5806451612903226, 'delusions or hallucinations': 0.4677419354838709}",0.02
drug abuse (cocaine),"{'depression': 0.5409252669039146, 'depressive or psychotic symptoms': 0.5160142348754448, 'sharp chest pain': 0.5124555160142349, 'abusing alcohol': 0.5551601423487544, 'hostile behavior': 0.4804270462633452, 'drug abuse': 0.5444839857651246, 'excessive anger': 0.5480427046263345, 'delusions or hallucinations': 0.5338078291814946, 'fears and phobias': 0.7900355871886121}",0.05
drug abuse (methamphetamine),"{'anxiety and nervousness': 0.7212121212121212, 'shortness of breath': 0.5484848484848485, 'depressive or psychotic symptoms': 0.5272727272727272, 'palpitations': 0.5424242424242425, 'abusing alcohol': 0.5242424242424243, 'hostile behavior': 0.7636363636363637, 'drug abuse': 0.5303030303030303, 'feeling ill': 0.6848484848484848}",0.04
drug abuse (opioids),"{'anxiety and nervousness': 0.4850993377483443, 'depression': 0.48841059602649, 'depressive or psychotic symptoms': 0.4735099337748344, 'insomnia': 0.5182119205298014, 'abusing alcohol': 0.5016556291390728, 'drug abuse': 0.5314569536423841, 'restlessness': 0.7317880794701986, 'excessive anger': 0.4850993377483443, 'delusions or hallucinations': 0.4900662251655629, 'temper problems': 0.5397350993377483}",0.07
drug poisoning due to medication,"{'depression': 0.5048076923076923, 'depressive or psychotic symptoms': 0.5240384615384616, 'abusing alcohol': 0.7067307692307693, 'drug abuse': 0.5432692307692307, 'lip swelling': 0.7836538461538461, 'slurring words': 0.6490384615384616, 'sleepiness': 0.5240384615384616}",0.01
drug reaction,"{'shortness of breath': 0.495049504950495, 'dizziness': 0.506050605060506, 'throat swelling': 0.4829482948294829, 'vomiting': 0.5071507150715071, 'headache': 0.5225522552255225, 'nausea': 0.6919691969196919, 'abnormal appearing skin': 0.5005500550055005, 'peripheral edema': 0.5192519251925193, 'allergic reaction': 0.5247524752475248, 'itching of skin': 0.504950495049505, 'skin rash': 0.5335533553355336}",0.03
drug withdrawal,"{'anxiety and nervousness': 0.7019607843137254, 'depression': 0.7568627450980392, 'dizziness': 0.6549019607843137, 'sharp abdominal pain': 0.7058823529411765, 'vomiting': 0.5372549019607843, 'nausea': 0.4941176470588235, 'chills': 0.5098039215686274}",0.03
dry eye of unknown cause,"{'white discharge from eye': 0.4808362369337979, 'diminished vision': 0.5365853658536586, 'double vision': 0.494773519163763, 'symptoms of eye': 0.5168408826945412, 'pain in eye': 0.5400696864111498, 'abnormal movement of eyelid': 0.5133565621370499, 'foreign body sensation in eye': 0.6817653890824622, 'spots or clouds in vision': 0.5133565621370499, 'eye redness': 0.5342624854819977, 'lacrimation': 0.5307781649245064, 'itchiness of eye': 0.5040650406504065}",0.1
dumping syndrome,"{'vomiting': 1.0, 'nausea': 0.75, 'knee lump or mass': 0.75}",0.02
dyshidrosis,"{'frequent urination': 0.8433734939759037, 'abnormal appearing skin': 0.6987951807228916, 'skin lesion': 0.5542168674698795, 'acne or pimples': 0.6385542168674698, 'skin rash': 0.5903614457831325}",0.02
dysthymic disorder,"{'anxiety and nervousness': 0.5170340681362725, 'depression': 0.533066132264529, 'depressive or psychotic symptoms': 0.5090180360721442, 'insomnia': 0.5190380761523046, 'excessive anger': 0.685370741482966, 'slurring words': 0.4969939879759519, 'disturbance of memory': 0.5230460921843687, 'temper problems': 0.6613226452905812, 'loss of sex drive': 0.6673346693386774}",0.03
ear drum damage,"{'cough': 0.4950385887541345, 'nasal congestion': 0.4906284454244763, 'diminished hearing': 0.4851157662624035, 'pus draining from ear': 0.6747519294377067, 'ear pain': 0.5049614112458655, 'ringing in ear': 0.5325248070562293, 'plugged feeling in ear': 0.5082690187431091, 'fluid in ear': 0.4983461962513781, 'pulling at ears': 0.5170893054024256, 'redness in ear': 0.5226019845644984, 'bleeding from ear': 0.4785005512679162}",0.01
ear wax impaction,"{'cough': 0.4837758112094395, 'nasal congestion': 0.5014749262536873, 'diminished hearing': 0.504424778761062, 'ear pain': 0.4867256637168141, 'ringing in ear': 0.5206489675516224, 'plugged feeling in ear': 0.5221238938053098, 'fluid in ear': 0.6932153392330384, 'fever': 0.5014749262536873, 'pulling at ears': 0.5014749262536873, 'sinus congestion': 0.6489675516224189}",0.1
eating disorder,"{'anxiety and nervousness': 0.5161943319838057, 'depression': 0.5404858299595142, 'depressive or psychotic symptoms': 0.5101214574898786, 'insomnia': 0.6882591093117408, 'abusing alcohol': 0.7064777327935222, 'acne or pimples': 0.6761133603238867, 'weight gain': 0.4797570850202429, 'difficulty eating': 0.52834008097166, 'decreased appetite': 0.5020242914979757}",0.02
ectopic pregnancy,"{'dizziness': 0.5219941348973607, 'sharp abdominal pain': 0.5278592375366569, 'nausea': 0.5278592375366569, 'lower abdominal pain': 0.6803519061583577, 'vaginal discharge': 0.6539589442815249, 'intermenstrual bleeding': 0.750733137829912, 'pain during pregnancy': 0.4662756598240469, 'pelvic pain': 0.4897360703812317}",0.01
ectropion,"{'white discharge from eye': 0.9736842105263158, 'symptoms of eye': 0.7894736842105263, 'pain in eye': 0.5526315789473685, 'eye redness': 0.6052631578947368, 'lacrimation': 0.5}",0.001
eczema,"{'cough': 0.4896437448218724, 'skin swelling': 0.5095277547638773, 'abnormal appearing skin': 0.4971002485501243, 'skin lesion': 0.5128417564208783, 'acne or pimples': 0.5111847555923777, 'irregular appearing scalp': 0.5045567522783762, 'allergic reaction': 0.4979287489643745, 'itching of skin': 0.5244407622203812, 'skin dryness, peeling, scaliness, or roughness': 0.4946147473073736, 'skin irritation': 0.4995857497928749, 'warts': 0.5070422535211268, 'skin rash': 0.5086992543496272}",0.1
edward syndrome,"{'suprapubic pain': 1.0, 'cross-eyed': 0.8333333333333334}",0.0005
emphysema,"{'shortness of breath': 0.967741935483871, 'sharp chest pain': 0.4516129032258064, 'cough': 0.967741935483871, 'emotional symptoms': 0.8064516129032258}",0.02
empyema,"{'shortness of breath': 0.8333333333333334, 'sharp chest pain': 1.0, 'cough': 0.6666666666666666, 'leg pain': 1.0}",0.001
encephalitis,"{'dizziness': 0.648936170212766, 'insomnia': 0.851063829787234, 'headache': 0.5, 'loss of sensation': 0.6276595744680851, 'disturbance of memory': 0.7127659574468085}",0.002
endocarditis,"{'shortness of breath': 0.5903614457831325, 'sharp chest pain': 0.5783132530120482, 'dizziness': 0.5180722891566265, 'palpitations': 0.8433734939759037, 'irregular heartbeat': 0.8554216867469879, 'increased heart rate': 0.4819277108433735}",0.001
endometrial cancer,"{'vaginal itching': 0.7386363636363636, 'hot flashes': 0.75, 'intermenstrual bleeding': 0.5113636363636364, 'absence of menstruation': 0.7954545454545454, 'vaginal bleeding after menopause': 0.6022727272727273}",0.002
endometrial hyperplasia,"{'back weakness': 0.8367346938775511, 'involuntary urination': 0.9591836734693876, 'heavy menstrual flow': 0.5918367346938775, 'unpredictable menstruation': 0.3877551020408163, 'vaginal bleeding after menopause': 0.673469387755102}",0.001
endometriosis,"{'sharp abdominal pain': 0.4973544973544973, 'lower abdominal pain': 0.5396825396825397, 'hot flashes': 0.8015873015873016, 'intermenstrual bleeding': 0.5158730158730159, 'pelvic pain': 0.5079365079365079, 'burning abdominal pain': 0.5317460317460317, 'heavy menstrual flow': 0.4867724867724867, 'painful menstruation': 0.5079365079365079, 'infertility': 0.5158730158730159}",0.05
endophthalmitis,"{'painful urination': 0.8852459016393442, 'diminished vision': 0.6229508196721312, 'pain in eye': 0.5737704918032787, 'eye redness': 0.5573770491803278, 'itchiness of eye': 0.4262295081967213, 'swollen eye': 0.5245901639344263}",0.0005
envenomation from spider or animal bite,"{'skin swelling': 0.4945054945054945, 'hand or finger swelling': 0.5164835164835165, 'arm swelling': 0.7450549450549451, 'abnormal appearing skin': 0.4923076923076923, 'foot or toe swelling': 0.4835164835164835, 'paresthesia': 0.5186813186813187, 'allergic reaction': 0.5098901098901099, 'fluid retention': 0.512087912087912, 'itching of skin': 0.6835164835164835}",0.0005
ependymoma,"{'emotional symptoms': 0.8947368421052632, 'headache': 1.0, 'diminished vision': 0.7368421052631579, 'pain in eye': 0.631578947368421}",0.001
epididymitis,"{'retention of urine': 0.6418786692759295, 'swelling of scrotum': 0.50293542074364, 'pain in testicles': 0.5146771037181996, 'mass in scrotum': 0.6908023483365949, 'sharp abdominal pain': 0.5322896281800391, 'painful urination': 0.6594911937377691, 'side pain': 0.50293542074364, 'lower body pain': 0.4853228962818003, 'groin pain': 0.5322896281800391}",0.02
epidural hemorrhage,"{'depressive or psychotic symptoms': 1.0, 'dizziness': 1.0, 'emotional symptoms': 0.7}",0.003
epilepsy,"{'abnormal involuntary movements': 0.5333333333333333, 'difficulty speaking': 0.4533333333333333, 'lack of growth': 0.8, 'headache': 0.4266666666666667, 'disturbance of memory': 0.5333333333333333, 'seizures': 0.5066666666666667, 'muscle weakness': 0.4533333333333333}",0.01
erectile dysfunction,"{'retention of urine': 0.4702970297029702, 'pain in testicles': 0.4818481848184818, 'involuntary urination': 0.7574257425742574, 'pain during intercourse': 0.4851485148514851, 'frequent urination': 0.5165016501650165, 'blood in urine': 0.5132013201320133, 'impotence': 0.5132013201320133, 'symptoms of prostate': 0.5198019801980198, 'excessive urination at night': 0.5099009900990099, 'loss of sex drive': 0.5363036303630363}",0.1
erythema multiforme,"{'difficulty in swallowing': 0.8837209302325582, 'vomiting': 0.8372093023255814, 'mouth ulcer': 0.4883720930232558, 'fever': 0.5348837209302325, 'skin rash': 0.7674418604651163}",0.001
esophageal cancer,"{'shortness of breath': 0.7272727272727273, 'hoarse voice': 0.5324675324675324, 'sharp abdominal pain': 0.8961038961038961, 'decreased appetite': 0.5974025974025974, 'stomach bloating': 0.7662337662337663}",0.002
esophageal varices,"{'dizziness': 1.0, 'nausea': 1.0}",0.005
esophagitis,"{'shortness of breath': 0.4740740740740741, 'sharp chest pain': 0.502880658436214, 'chest tightness': 0.5004115226337449, 'sore throat': 0.5102880658436214, 'cough': 0.5037037037037037, 'difficulty in swallowing': 0.5259259259259259, 'sharp abdominal pain': 0.4905349794238683, 'vomiting': 0.5176954732510288, 'nausea': 0.502880658436214, 'burning abdominal pain': 0.4732510288065844, 'heartburn': 0.4995884773662551, 'upper abdominal pain': 0.5234567901234568}",0.01
essential tremor,"{'dizziness': 0.7282051282051282, 'abnormal involuntary movements': 0.5743589743589743, 'hoarse voice': 0.8615384615384616, 'problems with movement': 0.5076923076923077, 'muscle pain': 0.5025641025641026, 'loss of sensation': 0.676923076923077, 'disturbance of memory': 0.441025641025641}",0.01
eustachian tube dysfunction (ear disorder),"{'dizziness': 0.495049504950495, 'sore throat': 0.6622662266226622, 'nasal congestion': 0.4884488448844885, 'diminished hearing': 0.5016501650165016, 'ear pain': 0.5225522552255225, 'ringing in ear': 0.5291529152915292, 'plugged feeling in ear': 0.4939493949394939, 'allergic reaction': 0.495049504950495, 'abnormal breathing sounds': 0.5368536853685368, 'redness in ear': 0.4983498349834983, 'swollen or red tonsils': 0.4994499449944994}",0.02
extrapyramidal effect of drugs,"{'anxiety and nervousness': 0.5421686746987951, 'abnormal involuntary movements': 0.6265060240963856, 'headache': 0.891566265060241, 'arm stiffness or tightness': 0.5301204819277109, 'restlessness': 0.8313253012048193, 'seizures': 0.5542168674698795}",0.005
eye alignment disorder,"{'lack of growth': 0.7549668874172185, 'eye deviation': 0.5077262693156733, 'diminished vision': 0.4724061810154525, 'double vision': 0.543046357615894, 'cross-eyed': 0.5099337748344371, 'symptoms of eye': 0.5320088300220751, 'pain in eye': 0.4768211920529801, 'eye moves abnormally': 0.5320088300220751, 'irregular appearing scalp': 0.6931567328918322}",0.01
factitious disorder,"{'depression': 1.0, 'depressive or psychotic symptoms': 0.7692307692307693, 'elbow weakness': 0.8461538461538461, 'disturbance of memory': 0.7692307692307693}",0.001
female genitalia infection,"{'skin swelling': 0.8629441624365483, 'vaginal discharge': 0.700507614213198, 'skin lesion': 0.6802030456852792, 'vaginal pain': 0.5228426395939086, 'vulvar irritation': 0.5431472081218274, 'groin pain': 0.4517766497461929, 'vulvar sore': 0.4923857868020304}",0.02
female infertility of unknown cause,"{'pain during intercourse': 0.8928571428571429, 'scanty menstrual flow': 0.4285714285714285, 'long menstrual periods': 0.6428571428571429, 'unpredictable menstruation': 0.5357142857142857, 'infertility': 0.6428571428571429}",0.05
fetal alcohol syndrome,"{'depressive or psychotic symptoms': 1.0, 'emotional symptoms': 0.8571428571428571, 'excessive anger': 0.7142857142857143}",0.001
fibroadenoma,"{'vaginal dryness': 0.8247422680412371, 'hot flashes': 0.7010309278350515, 'bones are painful': 0.6907216494845361, 'bleeding or discharge from nipple': 0.5670103092783505, 'pain or soreness of breast': 0.6185567010309279, 'lump or mass of breast': 0.4845360824742268}",0.005
fibrocystic breast disease,"{'intermenstrual bleeding': 0.9285714285714286, 'bleeding or discharge from nipple': 0.7142857142857143, 'pain or soreness of breast': 0.7142857142857143, 'lump or mass of breast': 0.5714285714285714}",0.03
fibromyalgia,"{'sharp chest pain': 0.4969512195121951, 'leg pain': 0.5137195121951219, 'hip pain': 0.6707317073170732, 'headache': 0.5045731707317073, 'arm pain': 0.5121951219512195, 'back pain': 0.4847560975609756, 'neck pain': 0.5076219512195121, 'low back pain': 0.7149390243902439, 'muscle pain': 0.5091463414634146, 'ache all over': 0.5015243902439024}",0.03
flat feet,"{'skin swelling': 0.9696969696969696, 'knee pain': 0.6060606060606061, 'foot or toe pain': 0.7272727272727273, 'ankle pain': 0.6666666666666666, 'problems with movement': 0.8181818181818182}",0.1
floaters,"{'diminished vision': 0.5416666666666666, 'symptoms of eye': 0.7916666666666666, 'foreign body sensation in eye': 0.6666666666666666, 'spots or clouds in vision': 0.4583333333333333, 'lacrimation': 0.6666666666666666}",0.1
flu,"{'sore throat': 0.6612665684830633, 'cough': 0.4948453608247423, 'vomiting': 0.4801178203240059, 'headache': 0.6539027982326951, 'nausea': 0.5257731958762887, 'diarrhea': 0.5110456553755522, 'fever': 0.4830633284241531, 'ache all over': 0.5095729013254786, 'chills': 0.5139911634756995, 'coryza': 0.4992636229749632}",0.3
fluid overload,"{'shortness of breath': 0.5382262996941896, 'sharp chest pain': 0.6819571865443425, 'sharp abdominal pain': 0.4954128440366973, 'vomiting': 0.6880733944954128, 'nausea': 0.7553516819571865, 'hand or finger swelling': 0.5290519877675841, 'peripheral edema': 0.5076452599388379, 'fluid retention': 0.4770642201834862}",0.01
folate deficiency,"{'shortness of breath': 0.5681818181818182, 'sharp chest pain': 0.4772727272727273, 'sharp abdominal pain': 0.9090909090909092, 'vomiting blood': 0.8636363636363636, 'difficulty breathing': 0.8409090909090909}",0.02
food allergy,"{'cough': 0.6850220264317181, 'nasal congestion': 0.486784140969163, 'vomiting': 0.4933920704845815, 'hand or finger swelling': 0.5066079295154186, 'lip swelling': 0.7422907488986784, 'abnormal appearing skin': 0.5154185022026432, 'allergic reaction': 0.526431718061674, 'itching of skin': 0.5110132158590308, 'skin rash': 0.4911894273127753}",0.1
foreign body in the ear,"{'diminished hearing': 0.4, 'throat feels tight': 0.88, 'ear pain': 0.52, 'fluid in ear': 0.4, 'bleeding from ear': 0.52}",0.005
foreign body in the eye,"{'white discharge from eye': 0.8185053380782918, 'symptoms of eye': 0.6797153024911032, 'pain in eye': 0.498220640569395, 'foreign body sensation in eye': 0.501779359430605, 'eye redness': 0.5302491103202847, 'lacrimation': 0.4626334519572954, 'itchiness of eye': 0.5231316725978647, 'eye burns or stings': 0.5160142348754448}",0.005
foreign body in the gastrointestinal tract,"{'lump in throat': 0.7795275590551181, 'difficulty in swallowing': 0.5590551181102362, 'sharp abdominal pain': 0.4566929133858268, 'vomiting': 0.5196850393700787, 'vomiting blood': 0.6377952755905512, 'recent weight loss': 0.8188976377952756}",0.01
foreign body in the nose,"{'nasal congestion': 1.0, 'regurgitation.1': 1.0}",0.005
foreign body in the throat,"{'shortness of breath': 0.7307692307692307, 'sore throat': 0.5512820512820513, 'cough': 0.5128205128205128, 'throat swelling': 0.8782051282051282, 'difficulty in swallowing': 0.5384615384615384, 'vomiting': 0.5192307692307693, 'infant spitting up': 0.5128205128205128}",0.005
foreign body in the vagina,"{'emotional symptoms': 0.9047619047619048, 'painful urination': 0.8571428571428571, 'vaginal discharge': 0.4761904761904761}",0.005
fracture of the ankle,"{'leg pain': 0.4722222222222222, 'foot or toe pain': 0.6111111111111112, 'ankle pain': 0.5, 'knee weakness': 0.5277777777777778, 'foot or toe swelling': 0.3611111111111111, 'ankle swelling': 0.5277777777777778, 'ankle weakness': 0.5}",0.02
fracture of the arm,"{'wrist pain': 0.4965675057208238, 'arm pain': 0.540045766590389, 'wrist swelling': 0.5560640732265446, 'arm stiffness or tightness': 0.4874141876430206, 'arm swelling': 0.5011441647597255, 'wrist stiffness or tightness': 0.4508009153318077, 'elbow pain': 0.5308924485125858, 'shoulder pain': 0.5125858123569794, 'shoulder stiffness or tightness': 0.6887871853546911, 'elbow swelling': 0.5194508009153318}",0.02
fracture of the facial bones,"{'abusing alcohol': 0.4899777282850779, 'headache': 0.5144766146993318, 'lip swelling': 0.7616926503340757, 'facial pain': 0.5167037861915368, 'double vision': 0.5211581291759465, 'pain in eye': 0.6948775055679287, 'peripheral edema': 0.5144766146993318, 'swollen eye': 0.5011135857461024, 'redness in or around nose': 0.5055679287305123}",0.01
fracture of the finger,"{'hand or finger pain': 0.5, 'hand or finger swelling': 0.625, 'hand or finger stiffness or tightness': 0.5, 'foot or toe pain': 0.75, 'foot or toe swelling': 0.375}",0.02
fracture of the foot,"{'foot or toe pain': 0.7857142857142857, 'ankle pain': 0.5714285714285714, 'foot or toe swelling': 0.5714285714285714, 'ankle swelling': 0.5714285714285714, 'foot or toe stiffness or tightness': 0.5, 'foot or toe weakness': 0.6428571428571429}",0.02
fracture of the hand,"{'hand or finger pain': 0.5135135135135135, 'wrist pain': 0.5135135135135135, 'hand or finger swelling': 0.5045045045045045, 'arm pain': 0.5225225225225225, 'wrist swelling': 0.5855855855855856, 'arm stiffness or tightness': 0.6216216216216216, 'hand or finger stiffness or tightness': 0.4864864864864865, 'wrist stiffness or tightness': 0.5225225225225225}",0.02
fracture of the jaw,"{'facial pain': 0.6533333333333333, 'pain in eye': 0.76, 'peripheral edema': 0.5866666666666667, 'jaw swelling': 0.5466666666666666, 'bones are painful': 0.8533333333333334, 'mouth pain': 0.48}",0.01
fracture of the leg,"{'leg pain': 0.4852507374631268, 'hip pain': 0.5117994100294986, 'knee pain': 0.4926253687315634, 'ankle pain': 0.4793510324483775, 'knee weakness': 0.6622418879056047, 'knee swelling': 0.5147492625368731, 'problems with movement': 0.5088495575221239, 'leg swelling': 0.504424778761062, 'leg stiffness or tightness': 0.6415929203539823, 'ankle swelling': 0.5206489675516224}",0.02
fracture of the neck,"{'leg pain': 0.5365853658536586, 'hip pain': 0.5365853658536586, 'low back pain': 0.4390243902439024, 'elbow pain': 0.7073170731707317, 'lower body pain': 0.7560975609756098}",0.001
fracture of the patella,"{'leg pain': 0.5569620253164557, 'hip pain': 0.7341772151898734, 'knee pain': 0.6075949367088608, 'bones are painful': 0.8734177215189873, 'knee swelling': 0.569620253164557, 'leg weakness': 0.5949367088607594}",0.01
fracture of the pelvis,"{'difficulty speaking': 0.8206521739130435, 'leg pain': 0.4782608695652174, 'hip pain': 0.4891304347826087, 'back pain': 0.532608695652174, 'knee pain': 0.75, 'ache all over': 0.5380434782608695, 'groin pain': 0.4673913043478261}",0.005
fracture of the rib,"{'shortness of breath': 0.6643990929705216, 'sharp chest pain': 0.5192743764172335, 'hip pain': 0.5045351473922902, 'back pain': 0.528344671201814, 'bones are painful': 0.5192743764172335, 'side pain': 0.5226757369614512, 'shoulder pain': 0.5011337868480725, 'ache all over': 0.5068027210884354, 'rib pain': 0.528344671201814, 'back mass or lump': 0.5238095238095238, 'hurts to breath': 0.5192743764172335}",0.01
fracture of the shoulder,"{'arm pain': 0.5123456790123457, 'arm stiffness or tightness': 0.5123456790123457, 'neck swelling': 0.8333333333333334, 'bones are painful': 0.5308641975308642, 'shoulder pain': 0.5370370370370371, 'shoulder stiffness or tightness': 0.4629629629629629, 'shoulder swelling': 0.6481481481481481}",0.01
fracture of the skull,"{'depressive or psychotic symptoms': 0.9076923076923076, 'diminished hearing': 0.6, 'drug abuse': 0.7846153846153846, 'vomiting': 0.7846153846153846, 'headache': 0.5538461538461539}",0.005
fracture of the vertebra,"{'hip pain': 0.4925925925925926, 'hand or finger stiffness or tightness': 0.7851851851851852, 'back pain': 0.5259259259259259, 'neck pain': 0.5592592592592592, 'low back pain': 0.5666666666666667, 'pelvic pain': 0.5111111111111111, 'bones are painful': 0.6962962962962963, 'leg stiffness or tightness': 0.4518518518518518}",0.01
friedrich ataxia,"{'cough': 1.0, 'ear pain': 0.6, 'knee lump or mass': 1.0}",0.001
frostbite,"{'sharp chest pain': 1.0, 'elbow weakness': 0.9166666666666666, 'foot or toe pain': 0.8333333333333334}",0.001
fungal infection of the hair,"{'skin swelling': 0.485973597359736, 'abnormal appearing skin': 0.495049504950495, 'skin lesion': 0.5082508250825083, 'acne or pimples': 0.5016501650165016, 'skin growth': 0.5181518151815182, 'irregular appearing scalp': 0.509075907590759, 'pelvic pain': 0.5099009900990099, 'itching of skin': 0.5, 'skin dryness, peeling, scaliness, or roughness': 0.4793729372937294, 'skin irritation': 0.4851485148514851, 'itchy scalp': 0.4958745874587458, 'skin rash': 0.5107260726072608}",0.02
fungal infection of the skin,"{'skin swelling': 0.465592972181552, 'abnormal appearing skin': 0.5007320644216691, 'skin lesion': 0.5226939970717424, 'acne or pimples': 0.6661786237188873, 'irregular appearing scalp': 0.5080527086383602, 'itching of skin': 0.5212298682284041, 'skin dryness, peeling, scaliness, or roughness': 0.4904831625183016, 'itchy scalp': 0.6427525622254758, 'too little hair': 0.5124450951683748, 'skin rash': 0.5153733528550513}",0.1
g6pd enzyme deficiency,"{'cough': 1.0, 'emotional symptoms': 1.0}",0.001
galactorrhea of unknown cause,"{'anxiety and nervousness': 1.0, 'emotional symptoms': 0.4545454545454545, 'bleeding or discharge from nipple': 0.5454545454545454, 'pain or soreness of breast': 0.5454545454545454}",0.005
gallstone,"{'sharp chest pain': 0.4811946902654867, 'sharp abdominal pain': 0.5121681415929203, 'vomiting': 0.4911504424778761, 'nausea': 0.5188053097345132, 'back pain': 0.5309734513274337, 'burning abdominal pain': 0.5221238938053098, 'heartburn': 0.504424778761062, 'side pain': 0.5099557522123894, 'lower body pain': 0.5099557522123894, 'upper abdominal pain': 0.5165929203539823, 'regurgitation.1': 0.668141592920354}",0.03
ganglion cyst,"{'leg pain': 0.6533333333333333, 'hand or finger pain': 0.5111111111111111, 'wrist swelling': 0.4977777777777777, 'skin growth': 0.5155555555555555, 'knee pain': 0.4962962962962963, 'foot or toe pain': 0.5185185185185185, 'knee swelling': 0.5081481481481481, 'knee lump or mass': 0.6637037037037037, 'hand or finger lump or mass': 0.4859259259259259, 'wrist lump or mass': 0.5022222222222222}",0.02
gas gangrene,"{'sharp abdominal pain': 1.0, 'wrist pain': 1.0}",0.001
gastritis,"{'sharp chest pain': 0.4845360824742268, 'sharp abdominal pain': 0.5095729013254786, 'vomiting': 0.4918998527245949, 'headache': 0.6759941089837997, 'nausea': 0.4992636229749632, 'diarrhea': 0.6701030927835051, 'vomiting blood': 0.4904270986745213, 'burning abdominal pain': 0.4845360824742268, 'fever': 0.4860088365243004, 'regurgitation.1': 0.5022091310751104}",0.1
gastroduodenal ulcer,"{'sharp chest pain': 0.4919472913616398, 'blood in stool': 0.6471449487554904, 'sharp abdominal pain': 0.5124450951683748, 'vomiting': 0.5183016105417276, 'nausea': 0.5065885797950219, 'vomiting blood': 0.5300146412884333, 'burning abdominal pain': 0.4685212298682284, 'heartburn': 0.5124450951683748, 'upper abdominal pain': 0.5183016105417276, 'changes in stool appearance': 0.6734992679355783}",0.02
gastroesophageal reflux disease (gerd),"{'sharp chest pain': 0.5089285714285714, 'chest tightness': 0.515625, 'hoarse voice': 0.5, 'cough': 0.7544642857142857, 'difficulty in swallowing': 0.6450892857142857, 'sharp abdominal pain': 0.546875, 'nausea': 0.4665178571428571, 'regurgitation': 0.5178571428571429, 'burning abdominal pain': 0.4888392857142857, 'regurgitation.1': 0.5178571428571429}",0.1
gastrointestinal hemorrhage,"{'dizziness': 0.4744645799011532, 'blood in stool': 0.5172981878088962, 'fainting': 0.4967051070840197, 'sharp abdominal pain': 0.5082372322899505, 'vomiting': 0.5082372322899505, 'nausea': 0.5082372322899505, 'diarrhea': 0.4868204283360791, 'vomiting blood': 0.4991762767710049, 'weakness': 0.4761120263591433, 'changes in stool appearance': 0.4925864909390445, 'melena': 0.4868204283360791, 'rectal bleeding': 0.514003294892916}",0.01
gastroparesis,"{'sharp chest pain': 0.6871508379888268, 'sharp abdominal pain': 0.6145251396648045, 'vomiting': 0.5865921787709497, 'nausea': 0.5418994413407822, 'regurgitation': 0.5586592178770949, 'burning abdominal pain': 0.7653631284916201, 'upper abdominal pain': 0.6871508379888268, 'regurgitation.1': 0.5586592178770949}",0.005
genital herpes,"{'suprapubic pain': 0.7066115702479339, 'vaginal itching': 0.7231404958677686, 'painful urination': 0.5454545454545454, 'vaginal discharge': 0.7066115702479339, 'skin lesion': 0.743801652892562, 'recent pregnancy': 0.6942148760330579, 'skin rash': 0.5619834710743802}",0.02
gestational diabetes,"{'pain during pregnancy': 0.5384615384615384, 'vaginal redness': 0.8076923076923077, 'problems during pregnancy': 0.5384615384615384, 'uterine contractions': 0.5384615384615384, 'pelvic pressure': 0.5769230769230769}",0.01
glaucoma,"{'diminished vision': 0.5160642570281124, 'symptoms of eye': 0.5321285140562249, 'pain in eye': 0.5080321285140562, 'foreign body sensation in eye': 0.6706827309236948, 'spots or clouds in vision': 0.5321285140562249, 'eye redness': 0.5200803212851406, 'lacrimation': 0.5341365461847389, 'itchiness of eye': 0.6646586345381527, 'itchy eyelid': 0.6365461847389559}",0.03
glucocorticoid deficiency,"{'shortness of breath': 0.8235294117647058, 'lack of growth': 0.9411764705882352, 'diarrhea': 0.7647058823529411}",0.001
